feature,importance
xu100_atr_zscore,2473
gun_fark_bilanco,2395
xu100_fiyat_ma_farki,2294
vix_level,2108
usdtry_ret_20d,1993
usdtry_ret_5d,1845
vix_ret_3d,1639
natr_14,881
fx_beta_60d,619
vol_ratio_20,560
day_of_week,554
rsi_14,533
ret_1d,525
obv,519
bb_width,478
vol_rejim_orani,442
xu100_rejim,418
macd_signal,402
macd,394
is_month_start_end,360
atr_14,350
ret_5d,350
rel_str_sektor_20d,341
macd_hist,334
ret_20d,333
ma20,327
rel_str_xu100_5d,301
stoch_d,297
cmf_20,295
obv_ret_5d,290
rel_str_xu100_20d,288
bb_pband,285
squeeze_momentum,266
mfi_14,265
fiyat_ma20_sapma,262
rel_str_sektor_5d,244
stoch_k,222
ret_10d,222
bilanco_penceresi,209
sektor_kodu,138
squeeze_on,3
hacim_soku,1
squeeze_fired,0
fk_orani,0
fk_sektor_orani,0
eps_surpriz_yonu,0
