date,equity,positions,cash_weight
2020-01-08,1.0,0,1.0
2020-01-09,1.0178786982217072,10,0.0
2020-01-10,1.0305198438768897,10,0.0
2020-01-13,1.0542687551747452,10,0.0
2020-01-14,1.066425927645993,10,0.0
2020-01-15,1.065584874333157,10,0.0
2020-01-16,1.0504608453687427,10,0.0
2020-01-17,1.0527567261051687,10,0.0
2020-01-20,1.065282257064717,10,0.0
2020-01-21,1.0782644657844502,10,0.0
2020-01-22,1.0799422082539434,10,0.0
2020-01-23,1.092345832082492,10,0.0
2020-01-24,1.1066718977276637,10,0.0
2020-01-27,1.1102105561711682,10,0.0
2020-01-28,1.1138975834312916,10,0.0
2020-01-29,1.1101110137521988,10,0.0
2020-01-30,1.1054842285535498,10,0.0
2020-01-31,1.1034689376260067,10,0.0
2020-02-03,1.1114676319577501,10,0.0
2020-02-04,1.1383648058622056,10,0.0
2020-02-05,1.148145406589564,10,0.0
2020-02-06,1.1574998999829347,10,0.0
2020-02-07,1.1548106952997852,10,0.0
2020-02-10,1.1318665598108617,10,0.0
2020-02-11,1.1474930778855976,10,0.0
2020-02-12,1.1721746197907845,10,0.0
2020-02-13,1.2098032674765133,10,0.0
2020-02-14,1.2035361900243116,10,0.0
2020-02-17,1.2439872227876723,10,0.0
2020-02-18,1.2309754386984175,10,0.0
2020-02-19,1.2036730333771926,10,0.0
2020-02-20,1.1676370969890408,10,0.0
2020-02-21,1.2047851600788146,10,0.0
2020-02-24,1.2009367879620023,10,0.0
2020-02-25,1.2153099000823797,10,0.0
2020-02-26,1.2024515951912753,10,0.0
2020-02-27,1.1426030719991445,10,0.0
2020-02-28,1.097168506240467,10,0.0
2020-03-02,1.1336186958706236,10,0.0
2020-03-03,1.1576812517143575,10,0.0
2020-03-04,1.1371132640113601,10,0.0
2020-03-05,1.143802065668461,10,0.0
2020-03-06,1.10171037417949,10,0.0
2020-03-09,1.0189301991535364,10,0.0
2020-03-10,0.977674746257379,10,0.0
2020-03-11,0.977674746257379,10,0.0
2020-03-12,0.9104896352125621,10,0.0
2020-03-13,0.9224216203557164,10,0.0
2020-03-16,0.8338401535399311,10,0.0
2020-03-17,0.7884426752432213,10,0.0
2020-03-18,0.7734835878907435,10,0.0
2020-03-19,0.7535441245062404,10,0.0
2020-03-20,0.7924803118356487,10,0.0
2020-03-23,0.8154653559581858,10,0.0
2020-03-24,0.8860439001288777,10,0.0
2020-03-25,0.9279219410586768,10,0.0
2020-03-26,0.9547374981494867,10,0.0
2020-03-27,0.917444520075974,10,0.0
2020-03-30,0.8933267034460993,10,0.0
2020-03-31,0.925168743949018,10,0.0
2020-04-01,0.9052630662362475,10,0.0
2020-04-02,0.8952911778489819,10,0.0
2020-04-03,0.8884174265764528,10,0.0
2020-04-06,0.9302510608155108,10,0.0
2020-04-07,0.9378241728837433,10,0.0
2020-04-08,0.9551829566330583,10,0.0
2020-04-09,0.986637569374319,10,0.0
2020-04-10,1.0087256703742238,10,0.0
2020-04-13,1.030088602043267,10,0.0
2020-04-14,1.0550369010103482,10,0.0
2020-04-15,1.0057662220699477,10,0.0
2020-04-16,1.0069824570827937,10,0.0
2020-04-17,1.0352141723054114,10,0.0
2020-04-20,1.0603009773599748,10,0.0
2020-04-21,1.0739085790121334,10,0.0
2020-04-22,1.095846677189922,10,0.0
2020-04-24,1.106384541906804,10,0.0
2020-04-27,1.1486547232218647,10,0.0
2020-04-28,1.146240674132029,10,0.0
2020-04-29,1.1822687817383464,10,0.0
2020-04-30,1.1789572030910516,10,0.0
2020-05-04,1.157627780900159,10,0.0
2020-05-05,1.161612664466842,10,0.0
2020-05-06,1.1622963009928173,10,0.0
2020-05-07,1.162256259699585,10,0.0
2020-05-08,1.1446561133257354,10,0.0
2020-05-11,1.1471961052807946,10,0.0
2020-05-12,1.1643009476165052,10,0.0
2020-05-13,1.1787509774846288,10,0.0
2020-05-14,1.171127381162905,10,0.0
2020-05-15,1.1910243860750274,10,0.0
2020-05-18,1.2236727230024884,10,0.0
2020-05-20,1.2381647199059238,10,0.0
2020-05-21,1.2486449841300482,10,0.0
2020-05-22,1.2596916504502902,10,0.0
2020-05-27,1.2931365822116043,10,0.0
2020-05-28,1.2872594195941722,10,0.0
2020-05-29,1.301559433607512,10,0.0
2020-06-01,1.34229245393914,10,0.0
2020-06-02,1.3527850299663564,10,0.0
2020-06-03,1.3579372561365766,10,0.0
2020-06-04,1.355137947743886,10,0.0
2020-06-05,1.3512074634256916,10,0.0
2020-06-08,1.358683560569078,10,0.0
2020-06-09,1.357417148253967,10,0.0
2020-06-10,1.389321083781491,10,0.0
2020-06-11,1.3903315933019753,10,0.0
2020-06-12,1.406021325971018,10,0.0
2020-06-15,1.400632830585713,10,0.0
2020-06-16,1.4391228736382977,10,0.0
2020-06-17,1.469217792289352,10,0.0
2020-06-18,1.4908024090396315,10,0.0
2020-06-19,1.4859476744993405,10,0.0
2020-06-22,1.5082370949052002,10,0.0
2020-06-23,1.5169071111966352,10,0.0
2020-06-24,1.5296994028042616,10,0.0
2020-06-25,1.5153547488511523,10,0.0
2020-06-26,1.5197350980076594,10,0.0
2020-06-29,1.52372842300335,10,0.0
2020-06-30,1.529427244514178,10,0.0
2020-07-01,1.5298355945908646,10,0.0
2020-07-02,1.555020363329,10,0.0
2020-07-03,1.5681054478544973,10,0.0
2020-07-06,1.6295020306484598,10,0.0
2020-07-07,1.6478672844977413,10,0.0
2020-07-08,1.6375775378711885,10,0.0
