outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct,target_family,horizon_sessions,train_observations,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O1,LGBM_REGRESSION,K_SENSITIVITY,5,0,0,1000000,0.1,VOL_SCALED,40,715,2.061237804656743,3.7891219406788226,5.089148848087232,-0.09376681928365538,-0.09376681928365538,180,1.3192452463687103,5.276980985474841,24,23,1,0.9583333333333334,0.0,0.0587396361857841,4.662983425414365,0,0.0011386113999554944,0.011099533984413072,0.01553908769971034,0.043810127284334886,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,5,30,0,1000000,0.1,VOL_SCALED,40,715,2.2920082684425322,4.302067889459349,4.935768484127406,-0.13487884457083976,-0.09348494102266558,180,1.403063812871073,5.612255251484292,24,24,0,1.0,9905.597942822087,0.0010945122357780381,5.0,0,0.001129428655596546,0.011032936780506594,0.015389038481369242,0.04336604711575981,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,5,50,0,1000000,0.1,VOL_SCALED,40,715,2.2518254236556463,4.211684429270902,4.8932709805458465,-0.13487504792369331,-0.09329421465497378,180,1.3997239711839502,5.598895884735801,24,24,0,1.0,16340.165784219662,0.001847524287757928,5.0,0,0.0011233294503016377,0.010988538644568942,0.015289552393873893,0.0430717375346463,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,5,100,0,1000000,0.1,VOL_SCALED,40,715,2.1534553441368667,3.992307864836059,4.780800099029616,-0.13485695790837082,-0.09280754138671377,180,1.3913290352783165,5.565316141113266,24,24,0,1.0,31847.79152273018,0.0038131726877685132,5.0,0,0.0011081601372809344,0.01087754330472481,0.015042738997387738,0.04234202974333789,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,10,0,0,1000000,0.1,VOL_SCALED,40,715,1.8560688286816247,3.345864057409135,5.009576271279902,-0.1251276891156904,-0.08986779548480428,180,1.353658559285423,5.414634237141692,47,47,0,1.0,0.0,4.2565140183395456e-17,10.0,0,0.0005702344256309992,0.0026993152977356854,0.004095023041068165,0.007062095989735531,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,10,30,0,1000000,0.1,VOL_SCALED,40,715,1.8060581711544064,3.2397020580022815,4.941743924946233,-0.1250654117709623,-0.08959820887618064,180,1.3490090930096164,5.396036372038465,47,47,0,1.0,8439.784302608303,0.0013319110778660158,10.0,0,0.0005668130190772132,0.0027081535260200323,0.004063914225641429,0.006992370478660907,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,10,50,0,1000000,0.1,VOL_SCALED,40,715,1.7732020384885172,3.170365460651265,4.894154389767288,-0.125021596033555,-0.0894157974215688,180,1.345895555162167,5.383582220648668,47,47,0,1.0,13925.205789963087,0.002243032951462403,10.0,0,0.0005645320813746892,0.00268962253593549,0.004061293689523927,0.006946167713417474,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1,VOL_SCALED,40,715,1.6927307125242659,3.001935579167257,4.767537152141154,-0.12490380316204508,-0.0889503340542176,180,1.3380621670203472,5.352248668081389,47,47,0,1.0,27155.9012153714,0.0046033410606760704,10.0,0,0.0005588297371183792,0.0026437917466210436,0.004053686707127028,0.006831637090360445,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,15,0,0,1000000,0.1,VOL_SCALED,40,715,1.5272139241184828,2.661835308977823,4.796312157286492,-0.10458666407915429,-0.08955293094102335,180,1.272377396993911,5.089509587975644,68,67,1,0.9852941176470589,0.0,0.019123636416614947,14.668508287292818,0,0.0003049714622435788,0.00210373342342834,0.0026952720938126485,0.00455417712867983,0.0
O1,LGBM_REGRESSION,K_SENSITIVITY,15,30,0,1000000,0.1,VOL_SCALED,40,715,1.604485067506737,2.8195361127071394,4.891961822162159,-0.10451449051840178,-0.0892827629780174,180,1.2973012513089601,5.1892050052358405,69,69,0,1.0,7832.205637345238,0.001529771713277132,15.0,0,0.00030047769749495985,0.002022730254173592,0.002726654237784863,0.004509534557076687,0.0
