date,equity,positions,cash_weight
2020-01-08,1.0,0,1.0
2020-01-09,1.0178786982217072,10,0.0
2020-01-10,1.0305198736486678,10,0.0
2020-01-13,1.0542687108530873,10,0.0
2020-01-14,1.0664259736780448,10,0.0
2020-01-15,1.0655848935622363,10,0.0
2020-01-16,1.0504608467747945,10,0.0
2020-01-17,1.0527567621073766,10,0.0
2020-01-20,1.0652822597370244,10,0.0
2020-01-21,1.0782644634192384,10,0.0
2020-01-22,1.0799422439463224,10,0.0
2020-01-23,1.0923458664810317,10,0.0
2020-01-24,1.1066719391520505,10,0.0
2020-01-27,1.1102105745623356,10,0.0
2020-01-28,1.1138976105828184,10,0.0
2020-01-29,1.1101110054793593,10,0.0
2020-01-30,1.105484223876379,10,0.0
2020-01-31,1.1034689189656055,10,0.0
2020-02-03,1.111467610334866,10,0.0
2020-02-04,1.1383648328192104,10,0.0
2020-02-05,1.1481454038546155,10,0.0
2020-02-06,1.1574998915063244,10,0.0
2020-02-07,1.1548106742319875,10,0.0
2020-02-10,1.1318665641543928,10,0.0
2020-02-11,1.1474930793487452,10,0.0
2020-02-12,1.1721746420880848,10,0.0
2020-02-13,1.2098032611808778,10,0.0
2020-02-14,1.2035362072766456,10,0.0
2020-02-17,1.2439872707735458,10,0.0
2020-02-18,1.2309754672201552,10,0.0
2020-02-19,1.2036730273718415,10,0.0
2020-02-20,1.1676371394514589,10,0.0
2020-02-21,1.2047851563971566,10,0.0
2020-02-24,1.200936822140283,10,0.0
2020-02-25,1.215309914497754,10,0.0
2020-02-26,1.2024516158685612,10,0.0
2020-02-27,1.1426030920289645,10,0.0
2020-02-28,1.0971685189927378,10,0.0
2020-03-02,1.1336187227882746,10,0.0
2020-03-03,1.157681302294387,10,0.0
2020-03-04,1.1371132706599947,10,0.0
2020-03-05,1.1438020908979283,10,0.0
2020-03-06,1.1017103949393128,10,0.0
2020-03-09,1.0189302037230017,10,0.0
2020-03-10,0.9776748033902474,10,0.0
2020-03-11,0.9776748033902474,10,0.0
2020-03-12,0.91048964825517,10,0.0
2020-03-13,0.9224216139562803,10,0.0
2020-03-16,0.8338401601796853,10,0.0
2020-03-17,0.7884427007999982,10,0.0
2020-03-18,0.773483615820309,10,0.0
2020-03-19,0.7535441295976654,10,0.0
2020-03-20,0.7924803241981864,10,0.0
2020-03-23,0.81546535662472,10,0.0
2020-03-24,0.8860439183722734,10,0.0
2020-03-25,0.927921953302804,10,0.0
2020-03-26,0.9547374932559971,10,0.0
2020-03-27,0.9174445693358176,10,0.0
2020-03-30,0.8933267029554214,10,0.0
2020-03-31,0.9251687310577429,10,0.0
2020-04-01,0.9052630704220704,10,0.0
2020-04-02,0.8952912047802778,10,0.0
2020-04-03,0.8884174256028148,10,0.0
2020-04-06,0.9302510650780511,10,0.0
2020-04-07,0.9378241583913821,10,0.0
2020-04-08,0.9551829648297191,10,0.0
2020-04-09,0.9866375816074091,10,0.0
2020-04-10,1.0087256941511709,10,0.0
2020-04-13,1.0300886271412606,10,0.0
2020-04-14,1.055036893951365,10,0.0
2020-04-15,1.0057662266618426,10,0.0
2020-04-16,1.0069824401351126,10,0.0
2020-04-17,1.035214194506166,10,0.0
2020-04-20,1.060300995822997,10,0.0
2020-04-21,1.0739085749152202,10,0.0
2020-04-22,1.0958467166753794,10,0.0
2020-04-24,1.1063845617869799,10,0.0
2020-04-27,1.148654742999227,10,0.0
2020-04-28,1.146240661708211,10,0.0
2020-04-29,1.1822688087180997,10,0.0
2020-04-30,1.178957199738007,10,0.0
2020-05-04,1.1576277894450382,10,0.0
2020-05-05,1.16161267546274,10,0.0
2020-05-06,1.1622963309015202,10,0.0
2020-05-07,1.1622562495460087,10,0.0
2020-05-08,1.1446561466592613,10,0.0
2020-05-11,1.1471961008131761,10,0.0
2020-05-12,1.1643009850950767,10,0.0
2020-05-13,1.178751010110908,10,0.0
2020-05-14,1.1711273608684987,10,0.0
2020-05-15,1.191024405377375,10,0.0
2020-05-18,1.223672755643915,10,0.0
2020-05-20,1.2381647375296951,10,0.0
2020-05-21,1.2486449876144776,10,0.0
2020-05-22,1.2596916532097322,10,0.0
2020-05-27,1.2931366158886688,10,0.0
2020-05-28,1.2872594431580069,10,0.0
2020-05-29,1.3015594475622256,10,0.0
2020-06-01,1.342292443983546,10,0.0
2020-06-02,1.3527850410398854,10,0.0
2020-06-03,1.3579372366749192,10,0.0
2020-06-04,1.3551379792539313,10,0.0
2020-06-05,1.3512074757519377,10,0.0
2020-06-08,1.358683521772399,10,0.0
2020-06-09,1.3574171731597882,10,0.0
2020-06-10,1.3893211107773349,10,0.0
2020-06-11,1.390331603866677,10,0.0
2020-06-12,1.4060213446287568,10,0.0
2020-06-15,1.4006328339036966,10,0.0
2020-06-16,1.4391228866295374,10,0.0
2020-06-17,1.469217824027672,10,0.0
2020-06-18,1.4908024513936182,10,0.0
2020-06-19,1.4859476838058268,10,0.0
2020-06-22,1.5082370897245692,10,0.0
2020-06-23,1.5169071535303098,10,0.0
2020-06-24,1.5296994168361149,10,0.0
2020-06-25,1.5153547406543293,10,0.0
2020-06-26,1.5197350878529032,10,0.0
2020-06-29,1.5237284277476537,10,0.0
2020-06-30,1.5294272349294047,10,0.0
2020-07-01,1.5298356352249127,10,0.0
2020-07-02,1.5550203670136928,10,0.0
2020-07-03,1.5681054701407335,10,0.0
2020-07-06,1.629502061535543,10,0.0
2020-07-07,1.6478673255823109,10,0.0
