observation_id,ticker,company_type,size_liquidity,sector,financial_period,period_end,statement_type,preferred_consolidated_flag,consolidated_flag,kap_notification_id,announcement_date,announcement_timestamp,timing_quality,available_next_session_required,first_publication_flag,restatement_revision_flag,vintage_class,vintage_recovery_status,lineage_status,source_url,retrieval_timestamp_utc,exact_candidate_count,preferred_basis_candidate_count,mapping_status,mapping_confidence,mapping_failure,consolidation_basis_resolved,presentation_unit_status,accounting_semantics_status,flow_semantics,tfrs29_status,completely_unrecoverable
AEFES.IS:2023Q4,AEFES.IS,NON_FINANCIAL,MEDIUM,BEVERAGES,2023Q4,2023-12-31,ANNUAL,CONSOLIDATED,CONSOLIDATED,1261306,21.03.2024,21.03.2024 23:35:12,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1261306,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_MENTION_CONFIRMED,False
AEFES.IS:2024Q2,AEFES.IS,NON_FINANCIAL,MEDIUM,BEVERAGES,2024Q2,2024-06-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1326514,20.08.2024,20.08.2024 20:15:49,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1326514,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_6M,POST_TFRS29_STATUS_UNKNOWN,False
ASELS.IS:2022Q1,ASELS.IS,NON_FINANCIAL,MEDIUM,DEFENCE_TECH,2022Q1,2022-03-31,INTERIM,CONSOLIDATED,CONSOLIDATED,1024084,26.04.2022,26.04.2022 19:38:09,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1024084,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,SINGLE_QUARTER,PRE_TFRS29,False
ASELS.IS:2023Q4,ASELS.IS,NON_FINANCIAL,MEDIUM,DEFENCE_TECH,2023Q4,2023-12-31,ANNUAL,CONSOLIDATED,CONSOLIDATED,1262825,26.03.2024,26.03.2024 18:30:10,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1262825,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_MENTION_CONFIRMED,False
ASELS.IS:2024Q3,ASELS.IS,NON_FINANCIAL,MEDIUM,DEFENCE_TECH,2024Q3,2024-09-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1348854,15.10.2024,15.10.2024 18:47:17,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1348854,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,POST_TFRS29_STATUS_UNKNOWN,False
LOGO.IS:2022Q3,LOGO.IS,NON_FINANCIAL,SMALLER,SOFTWARE,2022Q3,2022-09-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1078146,08.11.2022,08.11.2022 18:17:55,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1078146,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,PRE_TFRS29,False
LOGO.IS:2023Q4,LOGO.IS,NON_FINANCIAL,SMALLER,SOFTWARE,2023Q4,2023-12-31,ANNUAL,CONSOLIDATED,CONSOLIDATED,1261215,21.03.2024,21.03.2024 18:38:24,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1261215,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_MENTION_CONFIRMED,False
LOGO.IS:2024Q2,LOGO.IS,NON_FINANCIAL,SMALLER,SOFTWARE,2024Q2,2024-06-30,INTERIM,CONSOLIDATED,CONSOLIDATED,1322445,07.08.2024,07.08.2024 20:32:23,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1322445,2026-09-17T17:14:17.495586+00:00,1,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_6M,POST_TFRS29_STATUS_UNKNOWN,False
ISCTR.IS:2022Q1,ISCTR.IS,BANK,LARGE_LIQUID,BANKING,2022Q1,2022-03-31,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1027984,09.05.2022,09.05.2022 18:38:48,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1027984,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,SINGLE_QUARTER,PRE_TFRS29,False
ISCTR.IS:2023Q4,ISCTR.IS,BANK,LARGE_LIQUID,BANKING,2023Q4,2023-12-31,ANNUAL,NON_CONSOLIDATED,NON_CONSOLIDATED,1249311,13.02.2024,13.02.2024 18:54:42,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1249311,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False
