outer_fold,inner_year,candidate,family,target_family,horizon_sessions,candidate_coverage,coverage_loss,baseline_rank_ic_mean,baseline_rank_ic_median,baseline_rank_ic_std,baseline_positive_ic_ratio,baseline_icir,baseline_ndcg,baseline_spread,baseline_signal_dates,candidate_rank_ic_mean,candidate_rank_ic_median,candidate_rank_ic_std,candidate_positive_ic_ratio,candidate_icir,candidate_ndcg,candidate_spread,candidate_signal_dates,delta_rank_ic,delta_median_ic,delta_ndcg
O1,2020,mom_20,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.1101915282980905,-0.028396776882467355,0.29053181359265745,0.3333333333333333,0.3792752571069048,0.6582261215100035,0.09693873268605331,3,0.14707150453670084,-0.013614893025840513,0.3094472111365313,0.3333333333333333,0.4752717078836797,0.6551671300554457,0.109090363018227,3,0.03687997623861035,0.014781883856626842,-0.003058991454557791
O1,2021,mom_20,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.12144114105770125,0.1780494581828286,0.23006851290188396,0.6666666666666666,0.5278477246883914,0.47343826207165063,0.03475144955451175,3,0.10506622209873114,0.10375104195609894,0.18463813377921343,0.6666666666666666,0.5690385834616766,0.5213437817855908,0.03979716402594571,3,-0.016374918958970114,-0.07429841622672967,0.04790551971394019
O1,2020,mom_40,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.1101915282980905,-0.028396776882467355,0.29053181359265745,0.3333333333333333,0.3792752571069048,0.6582261215100035,0.09693873268605331,3,0.07444468929747407,-0.09613781606001669,0.30038478290649634,0.3333333333333333,0.24783109376298593,0.6027037986367411,0.051891765151519366,3,-0.035746839000616426,-0.06774103917754934,-0.05552232287326242
O1,2021,mom_40,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.12144114105770125,0.1780494581828286,0.23006851290188396,0.6666666666666666,0.5278477246883914,0.47343826207165063,0.03475144955451175,3,0.11938501435583963,0.0979716587941095,0.22372073404086842,0.6666666666666666,0.5336341080216144,0.44620652464216165,0.014069037505161015,3,-0.002056126701861616,-0.0800777993887191,-0.027231737429488978
O1,2020,mom_63_rank,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.1101915282980905,-0.028396776882467355,0.29053181359265745,0.3333333333333333,0.3792752571069048,0.6582261215100035,0.09693873268605331,3,0.13473091184332817,0.028007779938871914,0.31230984610516527,0.6666666666666666,0.4314014224129191,0.6906402040423956,0.11989866414992756,3,0.024539383545237672,0.05640455682133927,0.032414082532392086
O1,2021,mom_63_rank,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.12144114105770125,0.1780494581828286,0.23006851290188396,0.6666666666666666,0.5278477246883914,0.47343826207165063,0.03475144955451175,3,0.07194591090117626,0.12164490136148932,0.17770018678342817,0.6666666666666666,0.40487245513624714,0.46629330988606954,0.04042657437435038,3,-0.04949523015652499,-0.05640455682133928,-0.007144952185581088
O1,2020,mom_126,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.1101915282980905,-0.028396776882467355,0.29053181359265745,0.3333333333333333,0.3792752571069048,0.6582261215100035,0.09693873268605331,3,0.14663715655370427,0.19006428988895388,0.24497139843122073,0.6666666666666666,0.5985888862649195,0.6467030146409791,0.10733341601939478,3,0.036445628255613774,0.21846106677142124,-0.011523106869024358
O1,2021,mom_126,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.12144114105770125,0.1780494581828286,0.23006851290188396,0.6666666666666666,0.5278477246883914,0.47343826207165063,0.03475144955451175,3,0.10960451977401131,0.19583217560433458,0.16548644237817592,0.6666666666666666,0.6623172158329375,0.46966400603507186,0.036267185493071626,3,-0.011836621283689938,0.017782717421505972,-0.0037742560365787714
O1,2020,mom_252,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.1101915282980905,-0.028396776882467355,0.29053181359265745,0.3333333333333333,0.3792752571069048,0.6582261215100035,0.09693873268605331,3,0.1659452018919687,0.08185607113086969,0.3230266849883788,0.6666666666666666,0.5137197934527878,0.6788837526170366,0.13841125998301726,3,0.055753673593878214,0.11025284801333704,0.020657631107033114
O1,2021,mom_252,MOMENTUM,BETA_RESIDUAL,40,1.0,0.0,0.12144114105770125,0.1780494581828286,0.23006851290188396,0.6666666666666666,0.5278477246883914,0.47343826207165063,0.03475144955451175,3,0.11293877929054368,0.18710752986940818,0.2325530508118142,0.6666666666666666,0.4856473776468992,0.46851916651900893,0.02432946242319682,3,-0.008502361767157574,0.009058071686579572,-0.004919095552641695
