symbol,provider_event_date,previous_trading_date,official_ex_date,previous_raw_close_external,current_raw_close_external,previous_adjusted_close_local,current_adjusted_close_local,raw_return,adjusted_return,reconciled_economic_return,volume,zero_volume,stale_flat_ohlc,local_split_field,local_dividend_field,action_type,official_ratio,subscription_price,local_vs_external_adjusted,local_action_vs_official,official_source,classification
HEKTS.IS,2024-09-09,2024-09-06,2024-09-18,11.76,4.13403,11.760000228881836,4.134029865264893,-0.6484668367346939,-0.6484668550335595,-0.022520783673688705,49948771.0,False,False,0.0,0.0,RIGHTS_ISSUE,2.3320158,1.0,CONSISTENT,INCONSISTENT_DATE_AND_MISSING_ACTION_FIELD,https://www.kap.org.tr/tr/Bildirim/1334639,CONFIRMED_DATA_ERROR
BSOKE.IS,2024-12-02,2024-11-29,2024-12-10,60.0,15.467761,60.0,15.467761039733887,-0.7422039833333334,-0.7422039826711019,-0.017919933985150016,10220683.0,False,False,0.0,0.0,RIGHTS_ISSUE,3.0,1.0,CONSISTENT,INCONSISTENT_DATE_AND_MISSING_ACTION_FIELD,https://www.kap.org.tr/tr/Bildirim/1363968,CONFIRMED_DATA_ERROR
CCOLA.IS,2024-08-01,2024-07-31,2024-08-13,846.0,78.272728,814.9375,75.39879608154297,-0.9074790449172577,-0.9074790446119574,0.01773050926846853,3966028.0,False,False,0.0,0.0,BONUS_ISSUE,10.0,0.0,CONSISTENT,INCONSISTENT_DATE_AND_MISSING_ACTION_FIELD,https://kap.org.tr/tr/api/BildirimPdf/1321329,CONFIRMED_DATA_ERROR
KBORU.IS,2025-01-02,2024-12-31,2025-06-04,77.75,13.166666,76.46223449707031,12.948587417602539,-0.8306538135048231,-0.8306538188064767,0.01607708716113998,7241616.0,False,False,0.0,0.0,BONUS_ISSUE,5.0,0.0,CONSISTENT,INCONSISTENT_DATE_AND_MISSING_ACTION_FIELD,https://www.kap.org.tr/tr/Bildirim/1446216,CONFIRMED_DATA_ERROR
CVKMD.IS,2026-08-03,2026-07-31,2026-08-05,37.82,14.417085,37.81999969482422,14.417084693908691,-0.6187973294553146,-0.6187973344726994,-0.015027100514808156,17609960.0,False,False,0.0,0.0,RIGHTS_ISSUE,1.7,1.0,CONSISTENT,INCONSISTENT_DATE_AND_MISSING_ACTION_FIELD,https://www.kap.org.tr/tr/Bildirim/1642697,CONFIRMED_DATA_ERROR
