date,equity,positions,cash_weight
2020-01-08,1.0,0,1.0
2020-01-09,1.0192926141992389,60,0.0
2020-01-10,1.0288310200975985,60,0.0
2020-01-13,1.0467583195921746,60,0.0
2020-01-14,1.0645568892086075,60,0.0
2020-01-15,1.0701581413063268,60,0.0
2020-01-16,1.0638817279270791,60,0.0
2020-01-17,1.0658595759211478,60,0.0
2020-01-20,1.0769854418206561,60,0.0
2020-01-21,1.0906503100838185,60,0.0
2020-01-22,1.0849888727517734,60,0.0
2020-01-23,1.0862182590582694,60,0.0
2020-01-24,1.0899296365243576,60,0.0
2020-01-27,1.0803248213325396,60,0.0
2020-01-28,1.0797409211221316,60,0.0
2020-01-29,1.0783874137162122,60,0.0
2020-01-30,1.0707742260326383,60,0.0
2020-01-31,1.0738602436504945,60,0.0
2020-02-03,1.0748242731118705,60,0.0
2020-02-04,1.0987125098521622,60,0.0
2020-02-05,1.1025262526588115,60,0.0
2020-02-06,1.1049147628880749,60,0.0
2020-02-07,1.0981464135749965,60,0.0
2020-02-10,1.0704638871136014,60,0.0
2020-02-11,1.082542935299187,60,0.0
2020-02-12,1.0938415752312949,60,0.0
2020-02-13,1.1052426430271363,60,0.0
2020-02-14,1.1047302974860647,60,0.0
2020-02-17,1.1176384812610949,60,0.0
2020-02-18,1.1027124367567795,60,0.0
2020-02-19,1.0943153864220905,60,0.0
2020-02-20,1.054289594536802,60,0.0
2020-02-21,1.0694267654485723,60,0.0
2020-02-24,1.0573495368336847,60,0.0
2020-02-25,1.0600715046673401,60,0.0
2020-02-26,1.0629038341057933,60,0.0
2020-02-27,1.016848488587424,60,0.0
2020-02-28,0.9760391133363571,60,0.0
2020-03-02,0.9970955366846004,60,0.0
2020-03-03,1.0228960084083192,60,0.0
2020-03-04,1.0156903035602864,60,0.0
2020-03-05,1.0214107183454948,60,0.0
2020-03-06,0.9937920404658888,60,0.0
2020-03-09,0.927095496727873,60,0.0
2020-03-10,0.897242920767771,60,0.0
2020-03-11,0.8957502397730571,60,0.0
2020-03-12,0.8231832594498552,60,0.0
2020-03-13,0.8444077783327147,60,0.0
2020-03-16,0.7723136412090146,60,0.0
2020-03-17,0.7484772082543668,60,0.0
2020-03-18,0.7416081904653,60,0.0
2020-03-19,0.7364003657789936,60,0.0
2020-03-20,0.7526828173518744,60,0.0
2020-03-23,0.7491003234304177,60,0.0
2020-03-24,0.7994984043017132,60,0.0
2020-03-25,0.807891708940001,60,0.0
2020-03-26,0.8311487253188115,60,0.0
2020-03-27,0.805107984469832,60,0.0
2020-03-30,0.8004918279015295,60,0.0
2020-03-31,0.822186659021575,60,0.0
2020-04-01,0.8161575139703897,60,0.0
2020-04-02,0.8160978317739034,60,0.0
2020-04-03,0.820628610248695,60,0.0
2020-04-06,0.8504171108702239,60,0.0
2020-04-07,0.8551489121400164,60,0.0
2020-04-08,0.8617029309243427,60,0.0
2020-04-09,0.8842103367293528,60,0.0
2020-04-10,0.8925115027366314,60,0.0
2020-04-13,0.9008459516996091,60,0.0
2020-04-14,0.922169427490513,60,0.0
2020-04-15,0.8943231668914498,60,0.0
2020-04-16,0.8986040261869038,60,0.0
2020-04-17,0.9129793096421717,60,0.0
2020-04-20,0.9275101786576704,60,0.0
2020-04-21,0.9233042584345367,60,0.0
2020-04-22,0.9347297044433083,60,0.0
2020-04-24,0.9408847728524256,60,0.0
2020-04-27,0.9707738387886476,60,0.0
