architecture,delay_sessions,mean_net_return,mean_sharpe,worst_daily_maxdd,mean_fill_rate
LAMBDAMART,1,0.7077054043549951,2.7536934684161043,-0.2983429088550045,1.0
LAMBDAMART,2,0.7452374890401952,2.892984714010229,-0.29818841526571827,1.0
LGBM_REGRESSION,1,0.7298352679336849,2.2460762485584884,-0.27077592441383136,1.0
LGBM_REGRESSION,2,0.7684409666739012,2.4303257410772234,-0.2698276685179727,1.0
