baseline,cost_bps,status,gross_or_net_return,cagr,sharpe,daily_max_drawdown,daily_observations,turnover,total_turnover,trade_not_filled,missing_mark_events
INVESTABLE_UNIVERSE_EQUAL_WEIGHT,0,DESCRIPTIVE_RESEARCH_CONTROL,30.272042371783918,0.743293516722646,2.1374029568126214,-0.34117488546015085,1561,0.19785287204148078,5.1441746730785,0.0,0.0
INVESTABLE_UNIVERSE_EQUAL_WEIGHT,30,DESCRIPTIVE_RESEARCH_CONTROL,29.845306784227546,0.7394310089671594,2.1287088801696807,-0.34160297052010147,1561,0.19789622629608233,5.14530188369814,0.0,0.0
INVESTABLE_UNIVERSE_EQUAL_WEIGHT,50,DESCRIPTIVE_RESEARCH_CONTROL,29.563734657160023,0.7368578074636871,2.122876479303512,-0.3418884735761665,1561,0.1979264673417585,5.1460881508857215,0.0,0.0
INVESTABLE_UNIVERSE_EQUAL_WEIGHT,100,DESCRIPTIVE_RESEARCH_CONTROL,28.869842546428586,0.7304306365892606,2.108169361142883,-0.3426026276242271,1561,0.1980097161539941,5.148252620003847,0.0,0.0
MOMENTUM_12_1_TOP10,0,DESCRIPTIVE_RESEARCH_CONTROL,64.52957170833359,0.9644298266374836,2.234999570752877,-0.36587567395622234,1561,0.8680406988109717,22.569058169085263,0.0,0.0
MOMENTUM_12_1_TOP10,30,DESCRIPTIVE_RESEARCH_CONTROL,60.76211102629442,0.9457417028866879,2.20168369472317,-0.36922233321786213,1561,0.869197708958196,22.599140432913096,0.0,0.0
MOMENTUM_12_1_TOP10,50,DESCRIPTIVE_RESEARCH_CONTROL,58.36152243396593,0.9333289084751055,2.179153178190262,-0.3714541303282173,1561,0.8699740350656918,22.619324911707988,0.0,0.0
MOMENTUM_12_1_TOP10,100,DESCRIPTIVE_RESEARCH_CONTROL,52.72798815248585,0.9024571846409595,2.1217790686914917,-0.3770360750790035,1561,0.8719367080398455,22.670354409035983,0.0,0.0
PRICE_ONLY_MOMENTUM_COMPOSITE_TOP10,0,DESCRIPTIVE_RESEARCH_CONTROL,52.46488494343846,0.9009501211218418,2.351178613654062,-0.31925801068116755,1561,1.2893395118173587,33.522827307251326,0.0,0.0
PRICE_ONLY_MOMENTUM_COMPOSITE_TOP10,30,DESCRIPTIVE_RESEARCH_CONTROL,47.97875374420818,0.8742449962332626,2.297142359408428,-0.3273640393820686,1561,1.2920947038657233,33.59446230050881,0.0,0.0
PRICE_ONLY_MOMENTUM_COMPOSITE_TOP10,50,DESCRIPTIVE_RESEARCH_CONTROL,45.18145344514275,0.8565356331959801,2.260182978452215,-0.3327649629070075,1561,1.2939527233068193,33.6427708059773,0.0,0.0
PRICE_ONLY_MOMENTUM_COMPOSITE_TOP10,100,DESCRIPTIVE_RESEARCH_CONTROL,38.81250156989296,0.8125880261756844,2.164815321046392,-0.34625663072527046,1561,1.298699197507252,33.76617913518855,0.0,0.0
BIST100_RESEARCH_RETURN_PROXY,0,DESCRIPTIVE_RESEARCH_CONTROL,9.153685183452064,0.44224895354200955,1.4669551704308395,-0.3181543030845758,1595,,,,
BIST100_RESEARCH_RETURN_PROXY,30,DESCRIPTIVE_RESEARCH_CONTROL,9.123224127901707,0.4415644896793889,1.465090178184262,-0.3181543030845758,1595,,,,
BIST100_RESEARCH_RETURN_PROXY,50,DESCRIPTIVE_RESEARCH_CONTROL,9.102916757534803,0.44110721638059647,1.4638324225465937,-0.3181543030845757,1595,,,,
BIST100_RESEARCH_RETURN_PROXY,100,DESCRIPTIVE_RESEARCH_CONTROL,9.052148331617543,0.4399606380517507,1.460637805119934,-0.3181543030845757,1595,,,,
