architecture,delay_sessions,mean_net_return,mean_sharpe
ENSEMBLE_50_50,1,0.6729876176101808,2.399149509436528
ENSEMBLE_50_50,2,0.686934879436055,2.510536618303222
LAMBDAMART,1,0.7077054043549951,2.7536934684161043
LAMBDAMART,2,0.7452374890401952,2.892984714010229
LGBM_REGRESSION,1,0.7298352679336849,2.2460762485584884
LGBM_REGRESSION,2,0.7684409666739012,2.4303257410772234
