date,ticker,raw_open,raw_high,raw_low,raw_close,provider_adjusted_open,provider_adjusted_high,provider_adjusted_low,provider_adjusted_close,research_open,research_high,research_low,research_close,volume,dividends,provider_stock_splits,economic_return,price_quality,corporate_action_flag,trading_status,trading_eligible,source,raw_return,adjusted_return,adjustment_ratio
2025-08-19,SASA.IS,4.300000190734863,4.550000190734863,4.150000095367432,4.269999980926514,4.300000190734863,4.550000190734863,4.150000095367432,4.269999980926514,4.468517524930908,4.728315043926322,4.312638914428771,4.437341604620704,0,0.0,0.0,-0.004662000257425358,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,-0.004662000257425358,-0.004662000257425358,1.0
2025-08-21,SASA.IS,3.9800000190734863,4.349999904632568,3.9800000190734863,4.349999904632568,3.9800000190734863,4.349999904632568,3.9800000190734863,4.349999904632568,4.1359765222279785,4.520476731415326,4.1359765222279785,4.520476731415326,0,0.0,0.0,0.09848481382037844,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,0.09848481382037844,0.09848481382037844,1.0
2025-08-22,SASA.IS,4.46999979019165,4.78000020980835,4.460000038146973,4.78000020980835,4.46999979019165,4.78000020980835,4.460000038146973,4.78000020980835,4.645179421607258,4.967328781223082,4.634787778520152,4.967328781223082,0,0.0,0.0,0.09885064703515245,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,0.09885064703515245,0.09885064703515245,1.0
2025-08-25,SASA.IS,4.929999828338623,5.25,4.929999828338623,5.25,4.929999828338623,5.25,4.929999828338623,5.25,5.123206896200776,5.455747898903707,5.123206896200776,5.455747898903707,0,0.0,0.0,0.09832631162384287,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,0.09832631162384287,0.09832631162384287,1.0
2025-08-26,SASA.IS,5.440000057220459,5.659999847412109,5.159999847412109,5.159999847412109,5.440000057220459,5.659999847412109,5.159999847412109,5.159999847412109,5.653194072803155,5.881815671488365,5.362220633497535,5.362220633497535,0,0.0,0.0,-0.017142886207217267,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,-0.017142886207217267,-0.017142886207217267,1.0
2025-08-27,SASA.IS,5.099999904632568,5.210000038146973,4.880000114440918,4.889999866485596,5.099999904632568,5.210000038146973,4.880000114440918,4.889999866485596,5.2998692884015695,5.414180335506395,5.071247689716359,5.081639332803466,0,0.0,0.0,-0.052325579246272014,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,-0.052325579246272014,-0.052325579246272014,1.0
2025-08-29,SASA.IS,4.900000095367432,4.909999847412109,4.590000152587891,4.690000057220459,4.900000095367432,4.909999847412109,4.590000152587891,4.690000057220459,5.092031471415014,5.102423114502121,4.769882607323633,4.873801515816911,0,0.0,0.0,-0.028985480061493263,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,-0.028985480061493263,-0.028985480061493263,1.0
2025-09-01,SASA.IS,4.699999809265137,4.800000190734863,4.550000190734863,4.579999923706055,4.699999809265137,4.800000190734863,4.550000190734863,4.579999923706055,4.884193158904017,4.988112562921737,4.728315043926322,4.759490468712085,0,0.0,0.0,-0.02345418596425264,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,-0.02345418596425264,-0.02345418596425264,1.0
2025-09-02,SASA.IS,4.610000133514404,4.760000228881836,4.400000095367432,4.619999885559082,4.610000133514404,4.760000228881836,4.400000095367432,4.619999885559082,4.790666389022289,4.946544999524426,4.572436433424185,4.801058032109395,0,0.0,0.0,0.008733616270600209,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,0.008733616270600209,0.008733616270600209,1.0
2025-09-05,SASA.IS,4.460000038146973,4.579999923706055,4.389999866485596,4.429999828338623,4.460000038146973,4.579999923706055,4.389999866485596,4.429999828338623,4.634787778520152,4.759490468712085,4.562044294812636,4.6036118582099474,0,0.0,0.0,0.0,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,0.0,0.0,1.0
2025-09-08,SASA.IS,4.360000133514404,4.420000076293945,3.990000009536743,3.990000009536743,4.360000133514404,4.420000076293945,3.990000009536743,3.990000009536743,4.530868870026874,4.593220215122841,4.1463684130773055,4.1463684130773055,0,0.0,0.0,-0.09932276204328716,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,-0.09932276204328716,-0.09932276204328716,1.0
2025-09-09,SASA.IS,3.9200000762939453,4.050000190734863,3.869999885559082,3.9100000858306885,3.9200000762939453,4.050000190734863,3.869999885559082,3.9100000858306885,4.073625177132012,4.2087200059354934,4.021665475123152,4.063233286282684,0,0.0,0.0,-0.020050106144070656,UNRESOLVED,NONE,UNRESOLVED_MISSING_VOLUME,False,YAHOO_PROVIDER_SNAPSHOT,-0.020050106144070656,-0.020050106144070656,1.0
