date,equity_before_terminal_liquidation,equity,positions,terminal_liquidation_cost
2020-01-08,1.0,1.0,0,
2020-01-09,1.0178786982217072,1.0178786982217072,10,
2020-01-10,1.0305198736486678,1.0305198736486678,10,
2020-01-13,1.0542687108530873,1.0542687108530873,10,
2020-01-14,1.0664259736780448,1.0664259736780448,10,
2020-01-15,1.065584893562236,1.065584893562236,10,
2020-01-16,1.0504608467747942,1.0504608467747942,10,
2020-01-17,1.0527567621073763,1.0527567621073763,10,
2020-01-20,1.0652822597370244,1.0652822597370244,10,
2020-01-21,1.0782644634192382,1.0782644634192382,10,
2020-01-22,1.0799422439463222,1.0799422439463222,10,
2020-01-23,1.0923458664810315,1.0923458664810315,10,
2020-01-24,1.1066719391520505,1.1066719391520505,10,
2020-01-27,1.1102105745623356,1.1102105745623356,10,
2020-01-28,1.1138976105828182,1.1138976105828182,10,
2020-01-29,1.110111005479359,1.110111005479359,10,
2020-01-30,1.105484223876379,1.105484223876379,10,
2020-01-31,1.1034689189656055,1.1034689189656055,10,
2020-02-03,1.111467610334866,1.111467610334866,10,
2020-02-04,1.1383648328192104,1.1383648328192104,10,
2020-02-05,1.1481454038546155,1.1481454038546155,10,
2020-02-06,1.1574998915063244,1.1574998915063244,10,
2020-02-07,1.1548106742319875,1.1548106742319875,10,
2020-02-10,1.1318665641543928,1.1318665641543928,10,
2020-02-11,1.147493079348745,1.147493079348745,10,
2020-02-12,1.1721746420880848,1.1721746420880848,10,
2020-02-13,1.2098032611808776,1.2098032611808776,10,
2020-02-14,1.2035362072766453,1.2035362072766453,10,
2020-02-17,1.2439872707735455,1.2439872707735455,10,
2020-02-18,1.230975467220155,1.230975467220155,10,
2020-02-19,1.2036730273718412,1.2036730273718412,10,
2020-02-20,1.1676371394514586,1.1676371394514586,10,
2020-02-21,1.2047851563971559,1.2047851563971559,10,
2020-02-24,1.2009368221402825,1.2009368221402825,10,
2020-02-25,1.2153099144977535,1.2153099144977535,10,
2020-02-26,1.2024516158685608,1.2024516158685608,10,
2020-02-27,1.142603092028964,1.142603092028964,10,
2020-02-28,1.0971685189927374,1.0971685189927374,10,
2020-03-02,1.1336187227882741,1.1336187227882741,10,
2020-03-03,1.1576813022943866,1.1576813022943866,10,
2020-03-04,1.1371132706599942,1.1371132706599942,10,
2020-03-05,1.1438020908979278,1.1438020908979278,10,
2020-03-06,1.101710394939312,1.101710394939312,10,
2020-03-09,1.018930203723001,1.018930203723001,10,
2020-03-10,0.9776748033902467,0.9776748033902467,10,
2020-03-11,0.9776748033902467,0.9776748033902467,10,
2020-03-12,0.9104896482551695,0.9104896482551695,10,
2020-03-13,0.9224216139562799,0.9224216139562799,10,
2020-03-16,0.833840160179685,0.833840160179685,10,
2020-03-17,0.788442700799998,0.788442700799998,10,
2020-03-18,0.7734836158203087,0.7734836158203087,10,
2020-03-19,0.753544129597665,0.753544129597665,10,
2020-03-20,0.7924803241981859,0.7924803241981859,10,
2020-03-23,0.8154653566247195,0.8154653566247195,10,
2020-03-24,0.8860439183722729,0.8860439183722729,10,
2020-03-25,0.9279219533028036,0.9279219533028036,10,
2020-03-26,0.9547374932559967,0.9547374932559967,10,
2020-03-27,0.9174445693358172,0.9174445693358172,10,
2020-03-30,0.893326702955421,0.893326702955421,10,
2020-03-31,0.9251687310577426,0.9251687310577426,10,
2020-04-01,0.90526307042207,0.90526307042207,10,
2020-04-02,0.8952912047802773,0.8952912047802773,10,
2020-04-03,0.8884174256028144,0.8884174256028144,10,
2020-04-06,0.9302510650780506,0.9302510650780506,10,
2020-04-07,0.9378241583913817,0.9378241583913817,10,
2020-04-08,0.9551829648297187,0.9551829648297187,10,
2020-04-09,0.9866375816074086,0.9866375816074086,10,
2020-04-10,1.0087256941511702,1.0087256941511702,10,
2020-04-13,1.03008862714126,1.03008862714126,10,
2020-04-14,1.0550368939513644,1.0550368939513644,10,
2020-04-15,1.0057662266618421,1.0057662266618421,10,
2020-04-16,1.0069824401351122,1.0069824401351122,10,
2020-04-17,1.0352141945061655,1.0352141945061655,10,
2020-04-20,1.0603009958229965,1.0603009958229965,10,
2020-04-21,1.0739085749152197,1.0739085749152197,10,
2020-04-22,1.095846716675379,1.095846716675379,10,
2020-04-24,1.1063845617869794,1.1063845617869794,10,
2020-04-27,1.1486547429992269,1.1486547429992269,10,
2020-04-28,1.1462406617082108,1.1462406617082108,10,
2020-04-29,1.1822688087180993,1.1822688087180993,10,
