architecture,k,mean_net_return,mean_cagr,mean_sharpe,worst_daily_maxdd,worst_day,mean_turnover,mean_fill_rate,mean_cash,mean_holdings
LAMBDAMART,5,0.4971069081203745,1.2065705711505381,2.3792812999864945,-0.33690158728973596,-0.09458486732920324,1.320953890524607,1.0,0.002706896162343428,5.0
LAMBDAMART,10,0.6864277492794972,1.2983296610257749,2.6291682737978457,-0.30367719010744687,-0.09136156923324823,1.2116555046005852,1.0,0.0033302914213390465,10.0
LAMBDAMART,15,0.6249820465154046,1.08851090657012,2.2502489592512864,-0.26676962839516205,-0.0918246228039189,1.1130743494429467,1.0,0.003977409032438396,15.0
LAMBDAMART,20,0.6789287584356437,1.2170350633181257,2.4061321707700034,-0.24620877134365704,-0.08997702152964937,1.0775600245148742,1.0,0.004135447338655155,20.0
LGBM_REGRESSION,5,0.7270039085562428,1.390147732400952,2.1192448659702143,-0.3405643889085831,-0.09679889894136806,1.3188427694206613,1.0,0.0026200957562936356,5.0
LGBM_REGRESSION,10,0.7266608986002102,1.2578946983614667,2.1406749339887345,-0.27184613536277114,-0.0894157974215688,1.2374149901594547,1.0,0.0031676054210855466,10.0
LGBM_REGRESSION,15,0.623500946514475,1.047430526570055,1.8947997752916679,-0.2734331177705458,-0.08909996339732851,1.1900068905378116,1.0,0.0034719872886992526,15.0
LGBM_REGRESSION,20,0.6773200646894868,1.2077449181412567,2.364945023159095,-0.2667123823762112,-0.08873828263768813,1.1236997027969324,1.0,0.0038299007445893353,20.0
