symbol,date,open,high,low,close,volume,high_gap,low_gap,max_gap,relative_gap_to_close,rounding_assessment,adjusted_unadjusted_assessment,source_assessment,classification
MTRKS.IS,2022-06-27,14.474677156060478,14.474677156060478,14.474677156060478,14.565224647521973,1965.0,0.09054749146149454,0.0,0.09054749146149454,0.006216690346543997,materially exceeds rounding tolerance,same invariant violation present in external raw and adjusted series,local cache matches current Yahoo adjusted series,DATA_ERROR
MIATK.IS,2022-06-27,2.506153106689453,2.506153106689453,2.506153106689453,2.504615068435669,71201.0,0.0,0.0015380382537841797,0.0015380382537841797,0.0006140816899040725,one inferred pre-adjustment tick,same invariant violation present in external raw and adjusted series,local cache matches current Yahoo adjusted series,ROUNDING_ONLY
