outer_fold,inner_validation_year,target_family,horizon_sessions,train_observations,train_last_label_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean
O1,2020,RAW,20,236,2019-10-28,3,180,-0.12234880059275725,-0.18955265351486528,0.3333333333333333,0.5709829424243634,-0.06043579856295226
O1,2020,RAW,40,236,2019-11-26,3,179,0.04968653489315359,-0.04178938594053905,0.3333333333333333,0.6285650880043193,0.016409070640784073
O1,2020,RAW,60,236,2019-12-24,3,177,-0.25645821157218,-0.3154880187025132,0.3333333333333333,0.462633629221461,-0.2317239420817484
O1,2020,SECTOR_RELATIVE,20,236,2019-10-28,3,180,-0.04180849044337592,-0.06765862266035912,0.3333333333333333,0.6582720183446661,-0.013363277102282906
O1,2020,SECTOR_RELATIVE,40,236,2019-11-26,3,179,0.15494215962612998,0.07857847428480311,0.6666666666666666,0.6654168204385598,0.13083027618088408
O1,2020,SECTOR_RELATIVE,60,236,2019-12-24,3,177,-0.2584301374535389,-0.2189490914956253,0.0,0.3165309340769573,-0.28985130338370996
O1,2020,BETA_RESIDUAL,20,236,2019-10-28,3,180,-0.035935908122626654,-0.10097249235898863,0.3333333333333333,0.6388691083957966,-0.02541738455744756
O1,2020,BETA_RESIDUAL,40,236,2019-11-26,3,179,0.1101915282980905,-0.028396776882467355,0.3333333333333333,0.6582261215100035,0.09693873268605331
O1,2020,BETA_RESIDUAL,60,236,2019-12-24,3,177,-0.06740697447886228,-0.09503214494447694,0.3333333333333333,0.5569896323038404,-0.14722318831921247
O1,2020,VOL_SCALED,20,236,2019-10-28,3,180,-0.05555246827822544,-0.05312586829674911,0.0,0.5500222156073634,-0.10760791081642328
O1,2020,VOL_SCALED,40,236,2019-11-26,3,179,-0.05719979687844327,-0.2202834120589053,0.3333333333333333,0.6167977639269133,-0.14618114855791883
O1,2020,VOL_SCALED,60,236,2019-12-24,3,177,-0.06695889343463862,-0.2286382232612508,0.3333333333333333,0.6153858770580857,-0.2542778563526538
O1,2021,RAW,20,476,2020-10-13,4,241,0.050336338947198585,0.09869990768044888,0.75,0.5063308650691366,0.017831079547365267
O1,2021,RAW,40,475,2020-11-11,3,180,0.09763823284245626,0.18588496804667967,0.6666666666666666,0.46487053025910013,0.04493666872289163
O1,2021,RAW,60,419,2020-12-09,3,180,-0.04666110956747247,-0.1718255070853015,0.3333333333333333,0.458223807405117,0.033358495612913035
O1,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,-0.015316363353977694,-0.0013325141431304605,0.5,0.46125946550456004,0.01797358635235186
O1,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,0.0415306316234155,0.001305936453813913,0.6666666666666666,0.42988932657227563,0.04485673148799787
O1,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,-0.05485859302084969,-0.06646382973452936,0.3333333333333333,0.4040228158373596,-0.004641303960282626
O1,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,0.09097621203022349,0.15238865634719326,0.75,0.5062481425850311,0.018954533144995234
O1,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,0.12144114105770125,0.1780494581828286,0.6666666666666666,0.47343826207165063,0.03475144955451175
O1,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,-0.06637028804297491,-0.22239510975270915,0.3333333333333333,0.44374476149055136,0.04367699326697378
