signal_date,trade_date,cost_bps,turnover_two_sided_notional,cost_value,selected,unfilled_total,outer_fold,architecture
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,FACTOR_COMPOSITE
2023-05-05,2023-05-08,50,1.80572716400241,0.007882292017665628,10,0,O2,FACTOR_COMPOSITE
2023-08-03,2023-08-04,50,1.4051303865368887,0.010794165264101013,10,0,O2,FACTOR_COMPOSITE
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,FACTOR_COMPOSITE
2023-05-05,2023-05-08,100,1.8115203066905954,0.01572458403533126,10,0,O2,FACTOR_COMPOSITE
2023-08-03,2023-08-04,100,1.4103471170592687,0.021433140877941705,10,0,O2,FACTOR_COMPOSITE
2023-02-02,2023-02-03,0,0.9999999999999999,0.0,10,0,O2,RIDGE
2023-05-05,2023-05-08,0,1.2071659626081535,0.0,10,0,O2,RIDGE
2023-08-03,2023-08-04,0,0.8184447874933616,0.0,10,0,O2,RIDGE
2023-02-02,2023-02-03,30,0.9999999999999999,0.0029999999999999996,10,0,O2,RIDGE
2023-05-05,2023-05-08,30,1.2101861493072832,0.0029108762103348964,10,0,O2,RIDGE
2023-08-03,2023-08-04,30,0.8196082463877394,0.0038045316403499895,10,0,O2,RIDGE
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,RIDGE
2023-05-05,2023-05-08,50,1.2122121948223399,0.004847460350558159,10,0,O2,RIDGE
2023-08-03,2023-08-04,50,0.8203895813361568,0.0063231250206999805,10,0,O2,RIDGE
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,RIDGE
2023-05-05,2023-05-08,100,1.2173219199506005,0.00967492070111632,10,0,O2,RIDGE
2023-08-03,2023-08-04,100,0.8223631965094391,0.012557472808649956,10,0,O2,RIDGE
2023-02-02,2023-02-03,0,0.9999999999999999,0.0,10,0,O2,LGBM_REGRESSION
2023-05-05,2023-05-08,0,1.5086893001329018,0.0,10,0,O2,LGBM_REGRESSION
2023-08-03,2023-08-04,0,1.8,0.0,10,0,O2,LGBM_REGRESSION
2023-02-02,2023-02-03,30,0.9999999999999999,0.0029999999999999996,10,0,O2,LGBM_REGRESSION
2023-05-05,2023-05-08,30,1.5104738024329576,0.003875173908513491,10,0,O2,LGBM_REGRESSION
2023-08-03,2023-08-04,30,1.8027009424208023,0.00775926906451388,10,0,O2,LGBM_REGRESSION
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,LGBM_REGRESSION
2023-05-05,2023-05-08,50,1.5116704426105936,0.006448623180855817,10,0,O2,LGBM_REGRESSION
2023-08-03,2023-08-04,50,1.804513279808139,0.012891540809579336,10,0,O2,LGBM_REGRESSION
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,LGBM_REGRESSION
2023-05-05,2023-05-08,100,1.5146867326742512,0.012847246361711636,10,0,O2,LGBM_REGRESSION
2023-08-03,2023-08-04,100,1.8090857407670806,0.025580490129439665,10,0,O2,LGBM_REGRESSION
2023-02-02,2023-02-03,0,0.9999999999999999,0.0,10,0,O2,LAMBDAMART
2023-05-05,2023-05-08,0,2.0,0.0,10,0,O2,LAMBDAMART
2023-08-03,2023-08-04,0,2.0000000000000004,0.0,10,0,O2,LAMBDAMART
2023-02-02,2023-02-03,30,0.9999999999999999,0.0029999999999999996,10,0,O2,LAMBDAMART
2023-05-05,2023-05-08,30,2.0035989836648516,0.0050104119752175675,10,0,O2,LAMBDAMART
2023-08-03,2023-08-04,30,2.003896390322372,0.0077304984668918825,10,0,O2,LAMBDAMART
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,LAMBDAMART
2023-05-05,2023-05-08,50,2.00601273259234,0.008340686625362612,10,0,O2,LAMBDAMART
2023-08-03,2023-08-04,50,2.006518791385074,0.012836539366151234,10,0,O2,LAMBDAMART
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,LAMBDAMART
2023-05-05,2023-05-08,100,2.0120982084770986,0.016631373250725223,10,0,O2,LAMBDAMART
2023-08-03,2023-08-04,100,2.0131634643195415,0.025435305005626272,10,0,O2,LAMBDAMART
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,FACTOR_COMPOSITE
2024-04-19,2024-04-22,0,1.0147443772085996,0.0,10,0,O3,FACTOR_COMPOSITE
2024-07-22,2024-07-23,0,0.8203905970841129,0.0,10,0,O3,FACTOR_COMPOSITE
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,FACTOR_COMPOSITE
2024-04-19,2024-04-22,30,1.0165938368640974,0.003961698722249745,10,0,O3,FACTOR_COMPOSITE
2024-07-22,2024-07-23,30,0.8224323520918023,0.003927533794399218,10,0,O3,FACTOR_COMPOSITE
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,FACTOR_COMPOSITE
2024-04-19,2024-04-22,50,1.01785303057159,0.006600831203749573,10,0,O3,FACTOR_COMPOSITE
2024-07-22,2024-07-23,50,0.8238034170891863,0.006535811388060724,10,0,O3,FACTOR_COMPOSITE
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,FACTOR_COMPOSITE
2024-04-19,2024-04-22,100,1.0210180703417961,0.013191662407499145,10,0,O3,FACTOR_COMPOSITE
2024-07-22,2024-07-23,100,0.8272662421184291,0.013021231429764928,10,0,O3,FACTOR_COMPOSITE
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,RIDGE
2024-04-19,2024-04-22,0,1.258624049257098,0.0,10,0,O3,RIDGE
2024-07-22,2024-07-23,0,1.2180864456748872,0.0,10,0,O3,RIDGE
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,RIDGE
2024-04-19,2024-04-22,30,1.2602683648826278,0.004543159091041793,10,0,O3,RIDGE
2024-07-22,2024-07-23,30,1.220763674623732,0.005084221729352221,10,0,O3,RIDGE
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,RIDGE
2024-04-19,2024-04-22,50,1.2613691442213242,0.007565931818402988,10,0,O3,RIDGE
2024-07-22,2024-07-23,50,1.2225621773183841,0.008453538626895527,10,0,O3,RIDGE
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,RIDGE
2024-04-19,2024-04-22,100,1.2641372176522725,0.015101863636805976,10,0,O3,RIDGE
2024-07-22,2024-07-23,100,1.2271071214496205,0.01680633997700017,10,0,O3,RIDGE
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,LGBM_REGRESSION
2024-04-19,2024-04-22,0,1.6000000000000003,0.0,10,0,O3,LGBM_REGRESSION
2024-07-22,2024-07-23,0,1.6000000000000003,0.0,10,0,O3,LGBM_REGRESSION
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,LGBM_REGRESSION
2024-04-19,2024-04-22,30,1.6026318088324418,0.005480522027927839,10,0,O3,LGBM_REGRESSION
2024-07-22,2024-07-23,30,1.6042267688640348,0.006240227767855118,10,0,O3,LGBM_REGRESSION
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,LGBM_REGRESSION
2024-04-19,2024-04-22,50,1.6043940576004718,0.009128203379879732,10,0,O3,LGBM_REGRESSION
2024-07-22,2024-07-23,50,1.6070723445703397,0.010371159847712459,10,0,O3,LGBM_REGRESSION
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,LGBM_REGRESSION
2024-04-19,2024-04-22,100,1.608826901112867,0.01822640675975946,10,0,O3,LGBM_REGRESSION
2024-07-22,2024-07-23,100,1.614285359327673,0.020596346868527904,10,0,O3,LGBM_REGRESSION
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,LAMBDAMART
2024-04-19,2024-04-22,0,1.4357554001616764,0.0,10,0,O3,LAMBDAMART
2024-07-22,2024-07-23,0,1.6000000000000003,0.0,10,0,O3,LAMBDAMART
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,LAMBDAMART
2024-04-19,2024-04-22,30,1.43779970951781,0.005290216870443739,10,0,O3,LAMBDAMART
2024-07-22,2024-07-23,30,1.6035202991528699,0.007229189711132662,10,0,O3,LAMBDAMART
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,LAMBDAMART
2024-04-19,2024-04-22,50,1.4391681476160134,0.008811028117406233,10,0,O3,LAMBDAMART
2024-07-22,2024-07-23,50,1.605886597306364,0.012018413376888706,10,0,O3,LAMBDAMART
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,LAMBDAMART
2024-04-19,2024-04-22,100,1.4426088807686661,0.017592056234812466,10,0,O3,LAMBDAMART
2024-07-22,2024-07-23,100,1.611871558957576,0.023885772045448752,10,0,O3,LAMBDAMART
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,FACTOR_COMPOSITE
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,FACTOR_COMPOSITE
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,FACTOR_COMPOSITE
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,FACTOR_COMPOSITE
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,RIDGE
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,RIDGE
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,RIDGE
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,RIDGE
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,LGBM_REGRESSION
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,LGBM_REGRESSION
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,LGBM_REGRESSION
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,LGBM_REGRESSION
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,LAMBDAMART
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,LAMBDAMART
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,LAMBDAMART
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,LAMBDAMART
