architecture,family,case,mean_rank_ic,median_rank_ic,mean_net_return,mean_sharpe,worst_maxdd
LAMBDAMART,ABLATION,WITHOUT_mom_12_1,0.09865034134827735,0.0994848507503124,0.7334343402891729,2.297721477960483,-0.27561723367876645
LAMBDAMART,ABLATION,WITHOUT_mom_63,-0.019529713244268446,-0.02115737368623738,0.8382021468246686,2.532314430885115,-0.20077724079108217
LAMBDAMART,ABLATION,WITHOUT_vol_63,0.02837028027955143,0.0491796130248115,0.6069908837283656,2.468424564474327,-0.24750098768799333
LAMBDAMART,BASE,BASE,0.034572057479532264,0.03215070326762176,0.6864277492794972,2.6291682737978457,-0.30367719010744687
LAMBDAMART,FEATURE_NOISE,MILD,0.04738182543652597,0.04370939266651864,0.6858873299960938,2.5961878700468053,-0.3217198823182965
LAMBDAMART,FEATURE_NOISE,MODERATE,0.05128511554379935,0.03128119141677767,0.681399239554338,2.601473001890759,-0.3156126908480331
LAMBDAMART,PARAMETER,HIGH_COMPLEXITY,0.03210963689732265,0.03347898799190521,0.6507512961869784,2.513490453455366,-0.2964183693116389
LAMBDAMART,PARAMETER,LOW_COMPLEXITY,0.048437724836646406,0.0376293640303194,0.7216900456326266,2.6699635313616854,-0.32629303969295353
LAMBDAMART,RANK_NOISE,MILD,0.03521071271516652,0.029159874497491682,0.6671246297814754,2.541114195840889,-0.30367719010744687
LAMBDAMART,RANK_NOISE,MODERATE,0.03671158672507273,0.02850010452211829,0.6429947775049725,2.460101688496934,-0.30367719010744687
LGBM_REGRESSION,ABLATION,WITHOUT_mom_12_1,0.027966140814758143,-0.010850573544746014,0.6410350542036548,2.0157449370981895,-0.2505333503015159
LGBM_REGRESSION,ABLATION,WITHOUT_mom_63,-0.017639655197582843,-0.0267773784189873,0.7270842578987935,2.0562003020435387,-0.2648344368395543
LGBM_REGRESSION,ABLATION,WITHOUT_vol_63,0.05244190110422601,0.05718838484509867,0.6920942976756402,2.3654257484225103,-0.24419229335717363
LGBM_REGRESSION,BASE,BASE,0.02340929246780559,0.010148931413702288,0.7266608986002102,2.1406749339887345,-0.27184613536277114
LGBM_REGRESSION,FEATURE_NOISE,MILD,0.024444474734742955,0.007040851535766904,0.7690130677600101,2.3660939329175044,-0.29856162213119786
LGBM_REGRESSION,FEATURE_NOISE,MODERATE,0.05046640738620707,0.048845309466135134,0.7902157445091595,2.8025709758522686,-0.32202280559847585
LGBM_REGRESSION,PARAMETER,HIGH_COMPLEXITY,0.024945807178367058,0.008617977927721527,0.6834748227471841,2.0004252536669203,-0.2908623954519348
LGBM_REGRESSION,PARAMETER,LOW_COMPLEXITY,0.022497634663549093,0.008306097058267025,0.7186334579586853,2.257765764177534,-0.2741464274260119
LGBM_REGRESSION,RANK_NOISE,MILD,0.025443628932971724,0.016635870736436603,0.681646017976933,2.0388933005245096,-0.27184613536277114
LGBM_REGRESSION,RANK_NOISE,MODERATE,0.024656099971403965,0.014678038103930265,0.667411226125687,2.0055092499082185,-0.2940513878293435
