symbol,anchor_type,anchor_date,session_offset,date,raw_close_provider_label,provider_adjusted_close,research_close,economic_return,price_quality,corporate_action_flag,trading_status
HEKTS.IS,PROVIDER_ADJUSTED_DATE,2024-09-09,-2,2024-09-05,12.239999771118164,12.239999771118164,12.337657657286726,0.024267779621902852,PROVIDER_ONLY,NONE,TRADED_PROVIDER
HEKTS.IS,PROVIDER_ADJUSTED_DATE,2024-09-09,-1,2024-09-06,11.760000228881836,11.760000228881836,11.85382839760487,-0.03921564960882995,PROVIDER_ONLY,NONE,TRADED_PROVIDER
HEKTS.IS,PROVIDER_ADJUSTED_DATE,2024-09-09,0,2024-09-09,4.134029865264893,4.134029865264893,,0.17131399325187058,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
HEKTS.IS,PROVIDER_ADJUSTED_DATE,2024-09-09,1,2024-09-10,4.029780864715576,4.029780864715576,,-0.025217282880619973,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
HEKTS.IS,PROVIDER_ADJUSTED_DATE,2024-09-09,2,2024-09-11,3.8931779861450195,3.8931779861450195,,-0.033898339179343595,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
HEKTS.IS,OFFICIAL_EX_DATE,2024-09-18,-2,2024-09-16,4.32096004486084,4.32096004486084,,0.004177075927170426,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
HEKTS.IS,OFFICIAL_EX_DATE,2024-09-18,-1,2024-09-17,4.238278865814209,4.238278865814209,,-0.01913490941555185,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
HEKTS.IS,OFFICIAL_EX_DATE,2024-09-18,0,2024-09-18,4.059999942779541,4.059999942779541,11.703310713002173,-0.17783147069002914,RECONSTRUCTED,RIGHTS_ISSUE,TRADED_PROVIDER
HEKTS.IS,OFFICIAL_EX_DATE,2024-09-18,1,2024-09-19,4.130000114440918,4.130000114440918,11.905092429864888,0.01724142183446764,PROVIDER_ONLY,NONE,TRADED_PROVIDER
HEKTS.IS,OFFICIAL_EX_DATE,2024-09-18,2,2024-09-20,4.539999961853027,4.539999961853027,13.086953433356026,0.09927356805112608,PROVIDER_ONLY,NONE,TRADED_PROVIDER
BSOKE.IS,PROVIDER_ADJUSTED_DATE,2024-12-02,-2,2024-11-28,57.20000076293945,57.20000076293945,57.20000076293922,0.07822811659872242,PROVIDER_ONLY,NONE,TRADED_PROVIDER
BSOKE.IS,PROVIDER_ADJUSTED_DATE,2024-12-02,-1,2024-11-29,60.0,60.0,59.99999999999975,0.04895103496003261,PROVIDER_ONLY,NONE,TRADED_PROVIDER
BSOKE.IS,PROVIDER_ADJUSTED_DATE,2024-12-02,0,2024-12-02,15.467761039733887,15.467761039733887,,0.031184069315592478,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
BSOKE.IS,PROVIDER_ADJUSTED_DATE,2024-12-02,1,2024-12-03,15.598843574523926,15.598843574523926,,0.00847456425356663,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
BSOKE.IS,PROVIDER_ADJUSTED_DATE,2024-12-02,2,2024-12-04,15.69060230255127,15.69060230255127,,0.005882405807133395,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
BSOKE.IS,OFFICIAL_EX_DATE,2024-12-10,-2,2024-12-06,15.664384841918945,15.664384841918945,,-0.030032484021366934,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
BSOKE.IS,OFFICIAL_EX_DATE,2024-12-10,-1,2024-12-09,16.162500381469727,16.162500381469727,,0.03179924041560778,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
BSOKE.IS,OFFICIAL_EX_DATE,2024-12-10,0,2024-12-10,15.220000267028809,15.220000267028809,58.18022281113332,-0.10007391433943824,RECONSTRUCTED,RIGHTS_ISSUE,TRADED_PROVIDER
BSOKE.IS,OFFICIAL_EX_DATE,2024-12-10,1,2024-12-11,14.359999656677246,14.359999656677246,54.89277036368785,-0.0565046383221548,PROVIDER_ONLY,NONE,TRADED_PROVIDER
BSOKE.IS,OFFICIAL_EX_DATE,2024-12-10,2,2024-12-12,14.739999771118164,14.739999771118164,56.34536503770521,0.026462404145269014,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CCOLA.IS,PROVIDER_ADJUSTED_DATE,2024-08-01,-2,2024-07-30,889.5,856.8402709960938,903.7704855598647,0.01657142857142868,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CCOLA.IS,PROVIDER_ADJUSTED_DATE,2024-08-01,-1,2024-07-31,846.0,814.9375,859.5726034667179,-0.04890387858347389,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CCOLA.IS,PROVIDER_ADJUSTED_DATE,2024-08-01,0,2024-08-01,78.2727279663086,75.39879608154297,,0.017730505472097535,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CCOLA.IS,PROVIDER_ADJUSTED_DATE,2024-08-01,1,2024-08-02,77.63636016845703,74.7857894897461,,-0.00813013439528365,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CCOLA.IS,PROVIDER_ADJUSTED_DATE,2024-08-01,2,2024-08-05,72.45454406738281,69.79423522949219,,-0.06674470685939682,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CCOLA.IS,OFFICIAL_EX_DATE,2024-08-13,-2,2024-08-09,68.86363220214844,66.33517456054688,,0.0,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CCOLA.IS,OFFICIAL_EX_DATE,2024-08-13,-1,2024-08-12,69.13636016845703,66.59788513183594,,0.0039604063507425735,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CCOLA.IS,OFFICIAL_EX_DATE,2024-08-13,0,2024-08-13,69.3499984741211,66.8036880493164,775.0885888025352,0.0030901005656576164,RECONSTRUCTED,BONUS_ISSUE,TRADED_PROVIDER
CCOLA.IS,OFFICIAL_EX_DATE,2024-08-13,1,2024-08-14,67.75,65.2624282836914,757.2062443659236,-0.023071355577868657,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CCOLA.IS,OFFICIAL_EX_DATE,2024-08-13,2,2024-08-15,67.5999984741211,65.11793518066406,755.5297559222347,-0.0022140446624192567,PROVIDER_ONLY,NONE,TRADED_PROVIDER
KBORU.IS,PROVIDER_ADJUSTED_DATE,2025-01-02,-2,2024-12-30,78.8499984741211,77.54401397705078,78.93664969431917,-0.025339963079012318,PROVIDER_ONLY,NONE,TRADED_PROVIDER
KBORU.IS,PROVIDER_ADJUSTED_DATE,2025-01-02,-1,2024-12-31,77.75,76.46223449707031,77.83544239062492,-0.013950519916396953,PROVIDER_ONLY,NONE,TRADED_PROVIDER
KBORU.IS,PROVIDER_ADJUSTED_DATE,2025-01-02,0,2025-01-02,13.166666030883789,12.948587417602539,,0.016077121354376,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
KBORU.IS,PROVIDER_ADJUSTED_DATE,2025-01-02,1,2025-01-03,13.324999809265137,13.10429859161377,,0.012025350837483018,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
KBORU.IS,PROVIDER_ADJUSTED_DATE,2025-01-02,2,2025-01-06,13.441665649414062,13.219032287597656,,0.008755410267833996,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
