view,strategy,cost_bps,missing_or_last_valid_mark_events,unfilled_orders,observations,cumulative_return,cagr,sharpe_rf0,sortino_rf0,daily_max_drawdown,worst_day
AS_IS,BIST100,50,0,0,1345,6.748958811230636,0.4676049349296587,1.4835750025936172,1.8561884086694984,-0.31815427150205156,-0.09790713378194338
RECONCILED,BIST100,50,0,0,1345,6.748958811230636,0.4676049349296587,1.4835750025936172,1.8561884086694984,-0.31815427150205156,-0.09790713378194338
AS_IS,UNIVERSE_EQUAL_WEIGHT,50,105,0,1345,16.575436592463404,0.7109855884415943,2.002466151341584,2.4149052814836938,-0.3411104082218174,-0.0970095681472265
RECONCILED,UNIVERSE_EQUAL_WEIGHT,50,142,0,1345,17.053065625804873,0.7196027676211505,2.019635579257852,2.4356289766483137,-0.34111040822181726,-0.09700956814722639
AS_IS,MOMENTUM_12_1_TOP10,50,12,0,1345,45.514630060898774,1.0532440545927546,2.1999666846403243,2.9711315909825626,-0.3942509322228912,-0.09791097209463473
RECONCILED,MOMENTUM_12_1_TOP10,50,21,0,1345,49.29969127337356,1.0835613387475789,2.2510782380012615,3.063295478271292,-0.3942509322228911,-0.09791097209463484
