signal_date,trade_date,cost_bps,turnover_two_sided_notional,cost_value,selected,unfilled_total,outer_fold,target_family,horizon_sessions
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,RAW,40
2023-05-05,2023-05-08,50,1.2240332002415633,0.005143275480940205,10,0,O2,RAW,40
2023-08-03,2023-08-04,50,0.623858270795567,0.005086844963790644,10,0,O2,RAW,40
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,RAW,40
2023-05-05,2023-05-08,100,1.2277682186384857,0.01025655096188041,10,0,O2,RAW,40
2023-08-03,2023-08-04,100,0.6252075148650839,0.010102872001694954,10,0,O2,RAW,40
2023-02-02,2023-02-03,0,0.9999999999999999,0.0,10,0,O2,SECTOR_RELATIVE,40
2023-05-05,2023-05-08,0,1.229015626764069,0.0,10,0,O2,SECTOR_RELATIVE,40
2023-08-03,2023-08-04,0,0.6225256692132085,0.0,10,0,O2,SECTOR_RELATIVE,40
2023-02-02,2023-02-03,30,0.9999999999999999,0.0029999999999999996,10,0,O2,SECTOR_RELATIVE,40
2023-05-05,2023-05-08,30,1.2312044057607447,0.003184433562851408,10,0,O2,SECTOR_RELATIVE,40
2023-08-03,2023-08-04,30,0.623328910095912,0.003132405738113384,10,0,O2,SECTOR_RELATIVE,40
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,SECTOR_RELATIVE,40
2023-05-05,2023-05-08,50,1.2326720739588448,0.005301389271419013,10,0,O2,SECTOR_RELATIVE,40
2023-08-03,2023-08-04,50,0.6238677057864204,0.005206440999495515,10,0,O2,SECTOR_RELATIVE,40
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,SECTOR_RELATIVE,40
2023-05-05,2023-05-08,100,1.2363712793205268,0.010572778542838026,10,0,O2,SECTOR_RELATIVE,40
2023-08-03,2023-08-04,100,0.6252264268680406,0.01034174784552374,10,0,O2,SECTOR_RELATIVE,40
2023-02-02,2023-02-03,0,0.9999999999999999,0.0,10,0,O2,BETA_RESIDUAL,40
2023-05-05,2023-05-08,0,1.2071659626081535,0.0,10,0,O2,BETA_RESIDUAL,40
2023-08-03,2023-08-04,0,0.6165194727369993,0.0,10,0,O2,BETA_RESIDUAL,40
2023-02-02,2023-02-03,30,0.9999999999999999,0.0029999999999999996,10,0,O2,BETA_RESIDUAL,40
2023-05-05,2023-05-08,30,1.2101861493072832,0.0029108762103348964,10,0,O2,BETA_RESIDUAL,40
2023-08-03,2023-08-04,30,0.6176851731665288,0.00285280449431673,10,0,O2,BETA_RESIDUAL,40
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,BETA_RESIDUAL,40
