architecture,cost_bps,mean_net_return,mean_turnover
LAMBDAMART,0,0.7280962293471827,1.2081159276432707
LAMBDAMART,30,0.7028094883058253,1.2147649318685438
LAMBDAMART,50,0.6864277492794972,1.2116555046005852
LAMBDAMART,100,0.6462742028291363,1.2039374978800186
LGBM_REGRESSION,0,0.7700992738345913,1.2344213357894789
LGBM_REGRESSION,30,0.7443011191143745,1.2405412611828888
LGBM_REGRESSION,50,0.7266608986002102,1.2374149901594547
LGBM_REGRESSION,100,0.6834494980489847,1.22954502420335
