date,equity_before_terminal_liquidation,equity,positions,terminal_liquidation_cost
2020-01-08,1.0,1.0,0,
2020-01-09,1.024414687637426,1.024414687637426,60,
2020-01-10,1.0340010324789306,1.0340010324789306,60,
2020-01-13,1.0520183871756246,1.0520183871756246,60,
2020-01-14,1.0699064352474779,1.0699064352474779,60,
2020-01-15,1.075535825118861,1.075535825118861,60,
2020-01-16,1.069227860889676,1.069227860889676,60,
2020-01-17,1.0712156604140335,1.0712156604140335,60,
2020-01-20,1.0823974255131124,1.0823974255131124,60,
2020-01-21,1.096130966909716,1.096130966909716,60,
2020-01-22,1.090441083174768,1.090441083174768,60,
2020-01-23,1.0916766428414126,1.0916766428414126,60,
2020-01-24,1.0954066767434836,1.0954066767434836,60,
2020-01-27,1.0857535937286156,1.0857535937286156,60,
2020-01-28,1.085166764681997,1.085166764681997,60,
2020-01-29,1.0838064484160492,1.0838064484160492,60,
2020-01-30,1.0761549876239753,1.0761549876239753,60,
2020-01-31,1.0792565266014085,1.0792565266014085,60,
2020-02-03,1.0802253907716004,1.0802253907716004,60,
2020-02-04,1.104233680880698,1.104233680880698,60,
2020-02-05,1.1080665688676827,1.1080665688676827,60,
2020-02-06,1.1104670865234696,1.1104670865234696,60,
2020-02-07,1.1036647421364905,1.1036647421364905,60,
2020-02-10,1.0758431056319222,1.0758431056319222,60,
2020-02-11,1.0879828395025108,1.0879828395025108,60,
2020-02-12,1.0993382807633294,1.0993382807633294,60,
2020-02-13,1.1107966445438435,1.1107966445438435,60,
2020-02-14,1.1102817127003046,1.1102817127003046,60,
2020-02-17,1.1232547607892969,1.1232547607892969,60,
2020-02-18,1.1082537204589251,1.1082537204589251,60,
2020-02-19,1.0998144612286422,1.0998144612286422,60,
2020-02-20,1.0595875493418152,1.0595875493418152,60,
2020-02-21,1.0748007780908475,1.0748007780908475,60,
2020-02-24,1.0626628570657761,1.0626628570657761,60,
2020-02-25,1.0653985088269118,1.0653985088269118,60,
2020-02-26,1.068245063626657,1.068245063626657,60,
2020-02-27,1.0219582803873832,1.0219582803873832,60,
2020-02-28,0.9809438417341034,0.9809438417341034,60,
2020-03-02,1.0021060731209814,1.0021060731209814,60,
2020-03-03,1.0280361821817319,1.0280361821817319,60,
2020-03-04,1.0207942755439532,1.0207942755439532,60,
2020-03-05,1.0265434400023108,1.0265434400023108,60,
2020-03-06,0.9987859766160225,0.9987859766160225,60,
2020-03-09,0.9317542613767342,0.9317542613767342,60,
2020-03-10,0.9017516890339075,0.9017516890339075,60,
2020-03-11,0.9002515064198024,0.9002515064198024,60,
2020-03-12,0.8273198617784155,0.8273198617784155,60,
2020-03-13,0.8486510236511708,0.8486510236511708,60,
2020-03-16,0.7761946184419215,0.7761946184419215,60,
2020-03-17,0.7522384154605175,0.7522384154605175,60,
2020-03-18,0.7453348686590302,0.7453348686590302,60,
2020-03-19,0.7401008707993598,0.7401008707993598,60,
2020-03-20,0.7564762249346059,0.7564762249346059,60,
2020-03-23,0.7529064945994418,0.7529064945994418,60,
2020-03-24,0.803560659553993,0.803560659553993,60,
2020-03-25,0.8120913443291796,0.8120913443291796,60,
2020-03-26,0.8354796075111708,0.8354796075111708,60,
2020-03-27,0.8093023478711473,0.8093023478711473,60,
2020-03-30,0.8046589549130987,0.8046589549130987,60,
2020-03-31,0.8264676023482416,0.8264676023482416,60,
2020-04-01,0.8204012468216578,0.8204012468216578,60,
2020-04-02,0.8210438313634818,0.8210438313634818,60,
2020-04-03,0.8256020710378978,0.8256020710378978,60,
2020-04-06,0.8555804800153758,0.8555804800153758,60,
2020-04-07,0.8603413694245301,0.8603413694245301,60,
2020-04-08,0.8669351622804891,0.8669351622804891,60,
2020-04-09,0.889579271563488,0.889579271563488,60,
2020-04-10,0.8979372605403269,0.8979372605403269,60,
2020-04-13,0.9063222726226667,0.9063222726226667,60,
2020-04-14,0.9277570193175512,0.9277570193175512,60,
2020-04-15,0.8997421780956527,0.8997421780956527,60,
2020-04-16,0.9040485677059193,0.9040485677059193,60,
2020-04-17,0.9185011416395349,0.9185011416395349,60,
2020-04-20,0.9331200890878061,0.9331200890878061,60,
2020-04-21,0.9288885509048778,0.9288885509048778,60,
2020-04-22,0.940383683611916,0.940383683611916,60,
2020-04-24,0.9465758297309089,0.9465758297309089,60,
2020-04-27,0.9766659195724409,0.9766659195724409,60,
2020-04-28,0.9743644181784025,0.9743644181784025,60,
2020-04-29,0.9855914514186286,0.9855914514186286,60,
2020-04-30,0.9795238427105449,0.9795238427105449,60,
