date,nav,outer_fold,architecture,cost_bps
2022-02-21,1.0,O1,FACTOR_COMPOSITE,0
2022-02-22,1.0100843538241417,O1,FACTOR_COMPOSITE,0
2022-02-23,1.0097960193404798,O1,FACTOR_COMPOSITE,0
2022-02-24,0.9319961770865701,O1,FACTOR_COMPOSITE,0
2022-02-25,0.9829950752504104,O1,FACTOR_COMPOSITE,0
2022-02-28,0.967877454016488,O1,FACTOR_COMPOSITE,0
2022-03-01,0.9885766258009382,O1,FACTOR_COMPOSITE,0
2022-03-02,1.0065950068176857,O1,FACTOR_COMPOSITE,0
2022-03-03,1.0234285312517657,O1,FACTOR_COMPOSITE,0
2022-03-04,1.0040746993949508,O1,FACTOR_COMPOSITE,0
2022-03-07,1.0003441362236842,O1,FACTOR_COMPOSITE,0
2022-03-08,1.0063174166116284,O1,FACTOR_COMPOSITE,0
2022-03-09,1.0360067553295211,O1,FACTOR_COMPOSITE,0
2022-03-10,1.0282236649838878,O1,FACTOR_COMPOSITE,0
2022-03-11,1.0332795096483673,O1,FACTOR_COMPOSITE,0
2022-03-14,1.056098786334011,O1,FACTOR_COMPOSITE,0
2022-03-15,1.0613774249991494,O1,FACTOR_COMPOSITE,0
2022-03-16,1.0712415991975657,O1,FACTOR_COMPOSITE,0
2022-03-17,1.0940395671207384,O1,FACTOR_COMPOSITE,0
2022-03-18,1.10785740692671,O1,FACTOR_COMPOSITE,0
2022-03-21,1.1308330902045702,O1,FACTOR_COMPOSITE,0
2022-03-22,1.1584656821863184,O1,FACTOR_COMPOSITE,0
2022-03-23,1.1551710364684404,O1,FACTOR_COMPOSITE,0
2022-03-24,1.148579162809823,O1,FACTOR_COMPOSITE,0
2022-03-25,1.1489020597046296,O1,FACTOR_COMPOSITE,0
2022-03-28,1.1579646975071458,O1,FACTOR_COMPOSITE,0
2022-03-29,1.1908627859543641,O1,FACTOR_COMPOSITE,0
2022-03-30,1.2133057415728807,O1,FACTOR_COMPOSITE,0
2022-03-31,1.2198247607743862,O1,FACTOR_COMPOSITE,0
2022-04-01,1.224150101583931,O1,FACTOR_COMPOSITE,0
2022-04-04,1.2567415811895135,O1,FACTOR_COMPOSITE,0
2022-04-05,1.2759134242260706,O1,FACTOR_COMPOSITE,0
2022-04-06,1.300717866019919,O1,FACTOR_COMPOSITE,0
2022-04-07,1.3450319670501063,O1,FACTOR_COMPOSITE,0
2022-04-08,1.4011408346861176,O1,FACTOR_COMPOSITE,0
2022-04-11,1.4530928640276737,O1,FACTOR_COMPOSITE,0
2022-04-12,1.4373677888960368,O1,FACTOR_COMPOSITE,0
2022-04-13,1.4149231688098909,O1,FACTOR_COMPOSITE,0
2022-04-14,1.4016552353603227,O1,FACTOR_COMPOSITE,0
2022-04-15,1.4323059500673392,O1,FACTOR_COMPOSITE,0
2022-04-18,1.41164773777275,O1,FACTOR_COMPOSITE,0
2022-04-19,1.3932948465486206,O1,FACTOR_COMPOSITE,0
2022-04-20,1.39482211668168,O1,FACTOR_COMPOSITE,0
2022-04-21,1.409113171297214,O1,FACTOR_COMPOSITE,0
2022-04-22,1.3708894990984213,O1,FACTOR_COMPOSITE,0
2022-04-25,1.382980600754389,O1,FACTOR_COMPOSITE,0
2022-04-26,1.3729889795848547,O1,FACTOR_COMPOSITE,0
2022-04-27,1.3977602321275078,O1,FACTOR_COMPOSITE,0
2022-04-28,1.3884922580497656,O1,FACTOR_COMPOSITE,0
2022-04-29,1.389419749605335,O1,FACTOR_COMPOSITE,0
2022-05-05,1.402821977100451,O1,FACTOR_COMPOSITE,0
2022-05-06,1.3920516430456489,O1,FACTOR_COMPOSITE,0
2022-05-09,1.3984525386585307,O1,FACTOR_COMPOSITE,0
2022-05-10,1.4092388954065298,O1,FACTOR_COMPOSITE,0
2022-05-11,1.394122227494829,O1,FACTOR_COMPOSITE,0
2022-05-12,1.3621016880392904,O1,FACTOR_COMPOSITE,0
2022-05-13,1.4023697678361742,O1,FACTOR_COMPOSITE,0
2022-05-16,1.3996768625239573,O1,FACTOR_COMPOSITE,0
2022-05-17,1.4053809103376602,O1,FACTOR_COMPOSITE,0
2022-05-18,1.4161160542055298,O1,FACTOR_COMPOSITE,0
2022-05-20,1.422196285483859,O1,FACTOR_COMPOSITE,0
2022-05-23,1.422849231581832,O1,FACTOR_COMPOSITE,0
2022-05-24,1.42218008068714,O1,FACTOR_COMPOSITE,0
2022-05-25,1.4517115895039874,O1,FACTOR_COMPOSITE,0
2022-05-26,1.4734765324968848,O1,FACTOR_COMPOSITE,0
2022-05-27,1.4598578856644822,O1,FACTOR_COMPOSITE,0
2022-05-30,1.5209455576403372,O1,FACTOR_COMPOSITE,0
2022-05-31,1.5369037725437973,O1,FACTOR_COMPOSITE,0
2022-06-01,1.5381115330340958,O1,FACTOR_COMPOSITE,0
2022-06-02,1.5583124003485729,O1,FACTOR_COMPOSITE,0
2022-06-03,1.5547349338599363,O1,FACTOR_COMPOSITE,0
2022-06-06,1.5882182291727855,O1,FACTOR_COMPOSITE,0
2022-06-07,1.592999173422611,O1,FACTOR_COMPOSITE,0
2022-06-08,1.5301195277443067,O1,FACTOR_COMPOSITE,0
2022-06-09,1.553623974738376,O1,FACTOR_COMPOSITE,0
2022-06-10,1.5489644170712171,O1,FACTOR_COMPOSITE,0
2022-06-13,1.5335513613045815,O1,FACTOR_COMPOSITE,0
2022-06-14,1.5025512785583488,O1,FACTOR_COMPOSITE,0
2022-06-15,1.5196366550808036,O1,FACTOR_COMPOSITE,0
2022-06-16,1.4934985007831645,O1,FACTOR_COMPOSITE,0
2022-06-17,1.5125322157753949,O1,FACTOR_COMPOSITE,0
2022-06-20,1.5165297126645285,O1,FACTOR_COMPOSITE,0
2022-06-21,1.5393196939316247,O1,FACTOR_COMPOSITE,0
2022-06-22,1.5324442492984243,O1,FACTOR_COMPOSITE,0
2022-06-23,1.5179336703277873,O1,FACTOR_COMPOSITE,0
2022-06-24,1.541563019709256,O1,FACTOR_COMPOSITE,0
2022-06-27,1.5155593912920238,O1,FACTOR_COMPOSITE,0
2022-06-28,1.5097808183474397,O1,FACTOR_COMPOSITE,0
2022-06-29,1.459275615017068,O1,FACTOR_COMPOSITE,0
2022-06-30,1.4854474804829316,O1,FACTOR_COMPOSITE,0
