signal_date,trade_date,cost_bps,turnover_two_sided_notional,cost_value,selected,unfilled_total,outer_fold
2022-02-21,2022-02-22,0,0.9999999999999999,0.0,10,0,O1
2022-05-20,2022-05-23,0,1.2443186788943648,0.0,10,0,O1
2022-08-17,2022-08-18,0,0.9159739766062767,0.0,10,0,O1
2022-02-21,2022-02-22,30,0.9999999999999999,0.0029999999999999996,10,0,O1
2022-05-20,2022-05-23,30,1.2463074224474882,0.004762064828760532,10,0,O1
2022-08-17,2022-08-18,30,0.9167748759636969,0.005167168593324344,10,0,O1
2022-02-21,2022-02-22,50,0.9999999999999999,0.004999999999999999,10,0,O1
2022-05-20,2022-05-23,50,1.2476384645242466,0.007932774714600885,10,0,O1
2022-08-17,2022-08-18,50,0.9173125023343998,0.008588889797723128,10,0,O1
2022-02-21,2022-02-22,100,0.9999999999999999,0.009999999999999998,10,0,O1
2022-05-20,2022-05-23,100,1.2509844594077117,0.015845549429201775,10,0,O1
2022-08-17,2022-08-18,100,0.9186696883443913,0.017062574306359015,10,0,O1
2023-02-02,2023-02-03,0,0.9999999999999999,0.0,10,0,O2
2023-05-05,2023-05-08,0,1.2071659626081535,0.0,10,0,O2
2023-08-03,2023-08-04,0,0.8184447874933616,0.0,10,0,O2
2023-02-02,2023-02-03,30,0.9999999999999999,0.0029999999999999996,10,0,O2
2023-05-05,2023-05-08,30,1.2101861493072832,0.0029108762103348964,10,0,O2
2023-08-03,2023-08-04,30,0.8196082463877394,0.0038045316403499895,10,0,O2
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2
2023-05-05,2023-05-08,50,1.2122121948223399,0.004847460350558159,10,0,O2
2023-08-03,2023-08-04,50,0.8203895813361568,0.0063231250206999805,10,0,O2
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2
2023-05-05,2023-05-08,100,1.2173219199506005,0.00967492070111632,10,0,O2
2023-08-03,2023-08-04,100,0.8223631965094391,0.012557472808649956,10,0,O2
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3
2024-04-19,2024-04-22,0,1.258624049257098,0.0,10,0,O3
2024-07-22,2024-07-23,0,1.2180864456748872,0.0,10,0,O3
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3
2024-04-19,2024-04-22,30,1.2602683648826278,0.004543159091041793,10,0,O3
2024-07-22,2024-07-23,30,1.220763674623732,0.005084221729352221,10,0,O3
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3
2024-04-19,2024-04-22,50,1.2613691442213242,0.007565931818402988,10,0,O3
2024-07-22,2024-07-23,50,1.2225621773183841,0.008453538626895527,10,0,O3
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3
2024-04-19,2024-04-22,100,1.2641372176522725,0.015101863636805976,10,0,O3
2024-07-22,2024-07-23,100,1.2271071214496205,0.01680633997700017,10,0,O3
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4
