architecture,capital_try,adv_limit_pct,mean_net_return,mean_fill_rate,unfilled,mean_cash,median_order_adv,p95_order_adv,max_order_adv,pct_orders_gt_10pct_adv
LAMBDAMART,1000000,0.05,0.6864277492794972,1.0,0,0.0033302914213390465,0.0002798692735071749,0.014384217928323768,0.019754842659131102,0.0
LAMBDAMART,1000000,0.2,0.6864277492794972,1.0,0,0.0033302914213390465,0.0002798692735071749,0.014384217928323768,0.019754842659131102,0.0
LAMBDAMART,10000000,0.05,0.7042108993036993,0.9082181320421738,13,0.06110294875926017,0.0028489869428461774,0.06664313580200659,0.19754842659131105,0.017297162767546042
LAMBDAMART,10000000,0.1,0.7030840875941526,0.9724987555998009,5,0.022595515682321748,0.002412508417512906,0.06772932397506391,0.19754842659131105,0.017297162767546042
LAMBDAMART,10000000,0.2,0.686427749279497,1.0,0,0.0033302914213391072,0.0027986927350717485,0.14384217928323767,0.19754842659131105,0.022857142857142857
LAMBDAMART,50000000,0.05,0.5458759532989499,0.7748568457445372,28,0.18508794990889588,0.01191711479062705,0.2976650299288483,0.7521105154007717,0.12693663398428004
LAMBDAMART,50000000,0.1,0.7142455673375374,0.8624916206878771,20,0.11566684715898212,0.012343995255053695,0.2976650299288483,0.7521105154007717,0.12531325736090343
LAMBDAMART,50000000,0.2,0.7042108993036997,0.9082181320421738,13,0.061102948759260235,0.014244934714230887,0.3332156790100329,0.9877421329565553,0.14242612787908956
LGBM_REGRESSION,1000000,0.05,0.7266608986002102,1.0,0,0.0031676054210855466,0.0001997608472152784,0.00824900101397986,0.019754842659131102,0.0
LGBM_REGRESSION,1000000,0.2,0.7266608986002102,1.0,0,0.0031676054210855466,0.0001997608472152784,0.00824900101397986,0.019754842659131102,0.0
LGBM_REGRESSION,10000000,0.05,0.7467615701639057,0.9333951214270363,12,0.03792093074558938,0.0019701070553352707,0.0799589344175891,0.19754842659131105,0.011000967117988394
LGBM_REGRESSION,10000000,0.1,0.7225731144448853,0.9833333333333334,3,0.008553240632301427,0.002150463049368621,0.08278888908686903,0.19754842659131105,0.005555555555555556
LGBM_REGRESSION,10000000,0.2,0.7266608986002099,1.0,0,0.0031676054210854577,0.001997608472152784,0.08249001013979859,0.19754842659131105,0.005434782608695652
LGBM_REGRESSION,50000000,0.05,0.5566491214356086,0.8222222222222222,28,0.13575442804309992,0.009850535276676353,0.28236398738576496,0.7458894762468938,0.10793650793650794
LGBM_REGRESSION,50000000,0.1,0.5791420805967621,0.8967479674796748,18,0.09698086758155725,0.009850535276676353,0.28236398738576496,0.7126865229034764,0.09769647696476964
LGBM_REGRESSION,50000000,0.2,0.7499361796746433,0.9274978041282389,13,0.04477808430441276,0.009850535276676353,0.3997946720879455,0.9877421329565553,0.09991765480895916
