architecture,top1_abs_pnl_share,top3_abs_pnl_share,stock_pnl_hhi,largest_sector_abs_pnl_share,largest_sector
ENSEMBLE_50_50,0.11901651884783272,0.2591312754225477,0.04185762328892719,0.5168659981668403,XUSIN.IS
LAMBDAMART,0.08219698882137279,0.1858667257702604,0.033899502951019435,0.6974104838697155,XUSIN.IS
LGBM_REGRESSION,0.15432728143885663,0.2967305654128192,0.05200727883306839,0.4358892806401813,XU100.IS
