architecture,mean_outer_rank_ic,median_outer_rank_ic,outer_rank_ic_std,positive_fold_ratio,mean_ndcg_at_10,mean_top_k_spread_raw,mean_prediction_dispersion
FACTOR_COMPOSITE,0.0875592992922474,0.09737780780908817,0.1000836052376325,0.75,0.4953070832489447,0.03240999192240068,0.15966756893624134
RIDGE,-0.10541772408275642,-0.06410722141982568,0.16944077068394384,0.5,0.4835814961458952,-0.009989277666609328,0.02557189294731151
LGBM_REGRESSION,0.11774819410799148,0.1368597170435226,0.07277265792833751,1.0,0.586499491134467,0.08261491334414431,1.3722167548918587
LAMBDAMART,0.07548673907169669,0.10143892632109697,0.05874016248310176,0.75,0.5744443670601156,0.00553275699804049,0.45448780303795505
