outer_fold,architecture,cost_bps,delay_sessions,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O1,LGBM_REGRESSION,0,0,1.8560688286816247,3.345864057409135,5.009576271279902,-0.1251276891156904,-0.08986779548480428,180,1.353658559285423,5.414634237141692,47,47,0,1.0,0.0,4.2565140183395456e-17,10.0,0,0.0005702344256309992,0.0026993152977356854,0.004095023041068165,0.007062095989735531,0.0
O1,LGBM_REGRESSION,30,0,1.8060581711544064,3.2397020580022815,4.941743924946233,-0.1250654117709623,-0.08959820887618064,180,1.3490090930096164,5.396036372038465,47,47,0,1.0,8439.784302608303,0.0013319110778660158,10.0,0,0.0005668130190772132,0.0027081535260200323,0.004063914225641429,0.006992370478660907,0.0
O1,LGBM_REGRESSION,50,0,1.7732020384885172,3.170365460651265,4.894154389767288,-0.125021596033555,-0.0894157974215688,180,1.345895555162167,5.383582220648668,47,47,0,1.0,13925.205789963087,0.002243032951462403,10.0,0,0.0005645320813746892,0.00268962253593549,0.004061293689523927,0.006946167713417474,0.0
O1,LGBM_REGRESSION,100,0,1.6927307125242659,3.001935579167257,4.767537152141154,-0.12490380316204508,-0.0889503340542176,180,1.3380621670203472,5.352248668081389,47,47,0,1.0,27155.9012153714,0.0046033410606760704,10.0,0,0.0005588297371183792,0.0026437917466210436,0.004053686707127028,0.006831637090360445,0.0
O1,LGBM_REGRESSION,50,1,1.820820553770441,3.2709613687026975,5.076922243787467,-0.12686038419299228,-0.08937230374446914,180,1.3462086095239547,5.384834438095819,47,47,0,1.0,14164.398753692758,0.0022566838799970104,10.0,0,0.0005645320813746892,0.002502010289081586,0.0041649400915421695,0.00728105198406921,0.0
O1,LGBM_REGRESSION,50,2,2.135709544294886,3.9530208826179205,5.998794145622507,-0.12963657677981566,-0.05909137787195373,180,1.3441523950624985,5.376609580249994,47,47,0,1.0,15745.839209148526,0.002142775626900352,10.0,0,0.0006178899597664779,0.002513427871210008,0.004289591983632038,0.007983858106299743,0.0
O1,LAMBDAMART,0,0,1.8552085482420422,3.3440315346102842,5.347012126179646,-0.12879709662045347,-0.07434619706223566,180,1.1188350861464116,4.475340344585646,42,42,0,1.0,0.0,6.580505072378569e-17,10.0,0,0.0002966622719898917,0.0035403501889608824,0.014622132389291487,0.015194151826278217,0.0
O1,LAMBDAMART,30,0,1.8107824374635215,3.2496985411020374,5.291848860055095,-0.12855195009623388,-0.07412254346202296,180,1.1143422175716247,4.457368870286499,42,42,0,1.0,8443.937067998915,0.002171243711685738,10.0,0,0.00029397505370037404,0.003490053784065366,0.014520564200642417,0.015102986915320547,0.0
O1,LAMBDAMART,50,0,1.781573449456761,3.1880006962042486,5.253332972861535,-0.12838500799451047,-0.07397121399350659,180,1.1114345507220553,4.445738202888221,42,42,0,1.0,13939.495698844406,0.0036430419122975557,10.0,0,0.0002921950106968226,0.003456889078159179,0.014384217928323768,0.015042210308015435,0.0
O1,LAMBDAMART,100,0,1.7099231876691992,3.037753232230182,5.151167116694022,-0.12795643333164786,-0.07358507109501666,180,1.1045619517342826,4.4182478069371305,42,42,0,1.0,27220.295989058042,0.007403355680071093,10.0,0,0.00028778349940682943,0.003375213348522917,0.01404838899410425,0.014890268789752652,0.0
O1,LAMBDAMART,50,1,1.8450449064976637,3.3223982234432894,5.395681076807684,-0.12825114859579112,-0.07383962681719691,180,1.1165199534349801,4.4660798137399205,42,42,0,1.0,14257.93090723481,0.0036199396874489797,10.0,0,0.00029511201092939524,0.0036121719747048563,0.013552827915377763,0.0171115814700883,0.0
