outer_fold,architecture,inner_validation_year,target_family,horizon_sessions,train_observations,train_last_label_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,LAMBDAMART,2020,BETA_RESIDUAL,20,236,2019-10-28,3,180,0.09082803912547914,0.1160540768867931,0.6666666666666666,0.5104147164489282,0.07088549094906232,0.3407839726287048
O1,LAMBDAMART,2020,BETA_RESIDUAL,40,236,2019-11-26,3,179,0.03359937561692883,0.04629469544132499,0.6666666666666666,0.4369377346659189,0.038709047116001566,0.34121105604005103
O1,LAMBDAMART,2020,BETA_RESIDUAL,60,236,2019-12-24,3,177,0.028133598274523986,0.06499476718950122,0.6666666666666666,0.5491478344550237,0.030959416097427455,0.31664026197446793
O1,LAMBDAMART,2020,VOL_SCALED,20,236,2019-10-28,3,180,0.15222238231449478,0.08778639940820794,1.0,0.6114118607822493,0.08058037575996672,0.37523467950000683
O1,LAMBDAMART,2020,VOL_SCALED,40,236,2019-11-26,3,179,0.22579014716592352,0.2298792070960999,1.0,0.639913542262898,0.08900581703663484,0.32651316943610276
O1,LAMBDAMART,2020,VOL_SCALED,60,236,2019-12-24,3,177,0.10471473969280017,0.07101647170991703,1.0,0.6532984694288705,0.07371440598792227,0.299157267165269
O1,LAMBDAMART,2021,RAW,20,476,2020-10-13,4,241,-0.08318270416812354,-0.07516349285298611,0.5,0.4685174262025288,-0.019050343304833253,0.4490795306815657
O1,LAMBDAMART,2021,RAW,40,475,2020-11-11,3,180,-0.04378019987608453,-0.09344911450127741,0.3333333333333333,0.5030262703475877,-0.028996099895344716,0.43126995030166554
O1,LAMBDAMART,2021,RAW,60,419,2020-12-09,3,180,-0.09494785636217701,-0.17031150196728345,0.3333333333333333,0.43019200637173727,-0.014914082926843772,0.6580967739560765
O1,LAMBDAMART,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,-0.095867117215243,-0.09334113287129334,0.25,0.5124307742351057,-0.006664026322518666,0.4599793077686056
O1,LAMBDAMART,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,-0.07697071973091181,-0.08575080585726855,0.3333333333333333,0.45513339292149685,-0.03448788737708181,0.4375964331407562
O1,LAMBDAMART,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,-0.06954143474836265,-0.017329794920636115,0.3333333333333333,0.528273317514965,0.04729528340544662,0.4812341345482694
O1,LAMBDAMART,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,-0.025146188791963543,0.013861409994223764,0.75,0.4970113294975227,0.0007593248171969937,0.4185391585606358
O1,LAMBDAMART,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,-0.0018252205878938794,-0.055327071980761644,0.3333333333333333,0.5055453620803344,-0.0022077770793860383,0.4093435286676505
O1,LAMBDAMART,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,-0.11146911850168933,-0.17341891768471707,0.3333333333333333,0.4535246618869173,0.018378939758183225,0.6586344431022662
O1,LAMBDAMART,2021,VOL_SCALED,20,476,2020-10-13,4,241,-0.1143876844170551,-0.10377455771134514,0.0,0.4943823593879544,-0.01981799223102138,0.46499754656138337
O1,LAMBDAMART,2021,VOL_SCALED,40,475,2020-11-11,3,180,-0.015504447258928104,-0.005612748163200222,0.3333333333333333,0.525553335284437,0.021495676786157696,0.46849185152694145
O1,LAMBDAMART,2021,VOL_SCALED,60,419,2020-12-09,3,180,-0.028739050518802198,0.0013341858168728008,0.6666666666666666,0.46210520601721483,0.005998308557918955,0.5403184936031065
O2,FACTOR_COMPOSITE,2021,RAW,20,476,2020-10-13,4,241,0.15337312515534335,0.03851879926893839,0.5,0.5774183702383127,0.056797688486764725,0.13800228997271077
O2,FACTOR_COMPOSITE,2021,RAW,40,475,2020-11-11,3,180,0.1818285300761728,0.15693086034071588,1.0,0.6067723327514818,0.07919547592607004,0.1303081026777675
O2,FACTOR_COMPOSITE,2021,RAW,60,419,2020-12-09,3,180,0.13531140503721195,0.20314302228417921,0.6666666666666666,0.5585219752553536,0.09244606316643807,0.1303081026777675
O2,FACTOR_COMPOSITE,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,0.14669435586810006,0.1383184081054448,0.75,0.596602286734961,0.056797688486764725,0.13800228997271077
O2,FACTOR_COMPOSITE,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,0.15133480961315524,0.15113661773291814,1.0,0.6105602957562901,0.07919547592607004,0.1303081026777675
O2,FACTOR_COMPOSITE,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,0.18048862306365443,0.08788628364077476,1.0,0.5913692746520728,0.09244606316643807,0.1303081026777675
O2,FACTOR_COMPOSITE,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,0.1378924056490144,0.025105865925920033,0.5,0.5737190596663472,0.056797688486764725,0.13800228997271077
O2,FACTOR_COMPOSITE,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,0.1816062288665479,0.16054357715394293,1.0,0.6011414571356161,0.07919547592607004,0.1303081026777675
O2,FACTOR_COMPOSITE,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,0.14439866353643285,0.19891898132833857,0.6666666666666666,0.5486004921450653,0.09244606316643807,0.1303081026777675
O2,FACTOR_COMPOSITE,2021,VOL_SCALED,20,476,2020-10-13,4,241,0.11423086635347054,-0.01339384931550592,0.5,0.5586907410477691,0.056797688486764725,0.13800228997271077
