view,strategy,cost_bps,missing_or_last_valid_mark_events,unfilled_orders,observations,cumulative_return,cagr,sharpe_rf0,sortino_rf0,daily_max_drawdown,worst_day,rebalance_turnover,unavailable_observations
AS_IS,BIST100,50,0,0,1345,6.748958811230636,0.4676049349296587,1.4835750025936172,1.8561884086694984,-0.3181542715020515,-0.0979071337819433,2.0,0
EXP_DATA_003_RECONCILED,BIST100,50,0,0,1345,6.748958811230636,0.4676049349296587,1.4835750025936172,1.8561884086694984,-0.3181542715020515,-0.0979071337819433,2.0,0
AS_IS,UNIVERSE_EQUAL_WEIGHT,50,105,0,1345,16.575436592463404,0.7109855884415943,2.002466151341584,2.4149052814836938,-0.3411104082218174,-0.0970095681472265,4.937431470959547,105
EXP_DATA_003_RECONCILED,UNIVERSE_EQUAL_WEIGHT,50,142,0,1345,17.053065625804873,0.7196027676211505,2.019635579257852,2.4356289766483137,-0.3411104082218172,-0.0970095681472263,4.913039691636216,142
AS_IS,MOMENTUM_12_1_TOP10,50,12,0,1345,45.51463006089877,1.0532440545927546,2.1999666846403243,2.971131590982562,-0.3942509322228912,-0.0979109720946347,20.260986129728337,12
EXP_DATA_003_RECONCILED,MOMENTUM_12_1_TOP10,50,21,0,1345,49.29969127337356,1.0835613387475789,2.251078238001261,3.063295478271292,-0.3942509322228911,-0.0979109720946348,20.202752793525594,21
AUTHORITATIVE_RESEARCH_VIEW,BIST100,50,0,0,1345,6.748959035500752,0.46760494288787013,1.4835749513797427,1.8561882954783078,-0.3181543030845755,-0.09790709690770127,2.0,0
AUTHORITATIVE_RESEARCH_VIEW,UNIVERSE_EQUAL_WEIGHT,50,163,0,1345,17.043877613915186,0.7194387589509046,2.019807876352768,2.435338795962126,-0.3411104054433851,-0.09700957635048013,4.897504776390276,163
AUTHORITATIVE_RESEARCH_VIEW,MOMENTUM_12_1_TOP10,50,27,0,1345,51.16413445885158,1.0978181593178715,2.2705825223523473,3.086939851433933,-0.39425091294940273,-0.0979109766209657,20.01588845285411,27
