outer_fold,test_start,test_end,selected_horizon,inner_median_ic_h20,inner_median_ic_h40,inner_median_ic_h60
O1,2022-01-01,2022-12-31,40,-0.03600623082277933,0.07366238386780492,-0.15155966056982625
O2,2023-01-01,2023-12-31,40,0.036116660745127774,0.10743305409834644,0.05218955363518371
O3,2024-01-01,2024-12-31,60,0.013256296341952498,-0.027906991564217748,0.028029339387962877
O4,2025-01-01,2025-05-30,20,0.06280646767696461,-0.08945828733568513,-0.040460721680073385
