outer_fold,raw_selected_horizon,raw_inner_score,sector_relative_selected_horizon,sector_relative_inner_score,beta_residual_selected_horizon,beta_residual_inner_score,vol_scaled_selected_horizon,vol_scaled_inner_score,selected_family,selected_horizon
O1,40,0.07366238386780492,40,0.09823639562477274,40,0.11581633467789587,40,0.0817733533899902,BETA_RESIDUAL,40
O2,40,0.10743305409834644,40,0.06630890397596471,40,0.08335920973240706,40,0.12277061853103363,VOL_SCALED,40
O3,60,0.028029339387962877,60,0.04025426405053378,60,0.03944432403185012,60,0.09087477022377474,VOL_SCALED,60
O4,20,0.06280646767696461,20,0.059630141611141135,20,0.02485976463802765,20,0.07441914238315622,VOL_SCALED,20
