observation_id,ticker,financial_period,field,xbrl_code,first_published_value_try,latest_recovered_value_try,published_comparative_value_try,local_stored_value_try,missing_official,missing_local,local_basis_classification
THYAO.IS:2022Q3,THYAO.IS,2022Q3,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-23797000000.0,-23797000000.0,-1706000000.0,,False,True,UNKNOWN
THYAO.IS:2022Q3,THYAO.IS,2022Q3,fcf,DERIVED_CFO_PLUS_INVESTING_CF,64450000000.0,64450000000.0,,64450000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2023Q4,THYAO.IS,2023Q4,revenue,ifrs-full_Revenue,504398000000.0,504398000000.0,311169000000.0,504398000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2023Q4,THYAO.IS,2023Q4,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,71425000000.0,71425000000.0,48811000000.0,66923000000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
THYAO.IS:2023Q4,THYAO.IS,2023Q4,ebitda,,,,,115397000000.0,True,False,UNKNOWN
THYAO.IS:2023Q4,THYAO.IS,2023Q4,net_income,ifrs-full_ProfitLoss,162998000000.0,162998000000.0,47432000000.0,162998000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2023Q4,THYAO.IS,2023Q4,equity,ifrs-full_Equity,457112000000.0,457112000000.0,181427000000.0,457112000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2023Q4,THYAO.IS,2023Q4,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,145032000000.0,145032000000.0,117012000000.0,145032000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2023Q4,THYAO.IS,2023Q4,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-130387000000.0,-130387000000.0,-26760000000.0,,False,True,UNKNOWN
THYAO.IS:2023Q4,THYAO.IS,2023Q4,fcf,DERIVED_CFO_PLUS_INVESTING_CF,14645000000.0,14645000000.0,,14645000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2024Q2,THYAO.IS,2024Q2,revenue,ifrs-full_Revenue,330113000000.0,330113000000.0,189690000000.0,330113000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2024Q2,THYAO.IS,2024Q2,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,20307000000.0,20307000000.0,19290000000.0,15604000000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
THYAO.IS:2024Q2,THYAO.IS,2024Q2,ebitda,,,,,49565000000.0,True,False,UNKNOWN
THYAO.IS:2024Q2,THYAO.IS,2024Q2,net_income,ifrs-full_ProfitLoss,37309000000.0,37309000000.0,18173000000.0,37309000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2024Q2,THYAO.IS,2024Q2,equity,ifrs-full_Equity,557767000000.0,557767000000.0,457112000000.0,557767000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2024Q2,THYAO.IS,2024Q2,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,83856000000.0,83856000000.0,75881000000.0,83856000000.0,False,False,MATCHES_FIRST_AND_LATEST
THYAO.IS:2024Q2,THYAO.IS,2024Q2,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-8535000000.0,-8535000000.0,-59967000000.0,,False,True,UNKNOWN
THYAO.IS:2024Q2,THYAO.IS,2024Q2,fcf,DERIVED_CFO_PLUS_INVESTING_CF,75321000000.0,75321000000.0,,75321000000.0,False,False,MATCHES_FIRST_AND_LATEST
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,revenue,ifrs-full_Revenue,27267254000.0,27267254000.0,15501646000.0,27313940000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,1802737000.0,1802737000.0,948358000.0,1748224000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
