outer_fold,candidate,family,was_inner_selected,target_family,horizon_sessions,delta_rank_ic,delta_median_ic,delta_ndcg,delta_spread,delta_turnover,delta_net_return,candidate_sharpe,baseline_sharpe,delta_sharpe,candidate_daily_maxdd,baseline_daily_maxdd,delta_daily_maxdd
O1,mom_20,MOMENTUM,True,BETA_RESIDUAL,40,0.045965385574618454,-0.01478494623655914,-0.008670639726432894,-0.002008620022555682,0.13072581588596688,-0.111673744656553,6.734529647829772,6.947632987544768,-0.21310333971499595,-0.08661309805013451,-0.08564061471639373,-0.0009724833337407812
O1,mom_252,MOMENTUM,True,BETA_RESIDUAL,40,-0.00805951441964807,0.0212173579109063,-0.016381276799506628,0.030828895164506917,0.0026216947375842237,0.5160722832389286,7.467586331665226,6.947632987544768,0.5199533441204576,-0.08479049016217255,-0.08564061471639373,0.0008501245542211766
O1,positive_return_ratio_63,MOMENTUM_CONSISTENCY,True,BETA_RESIDUAL,40,-0.016130436293463217,0.05239828363741593,-0.04045638675546004,-0.011750188130678782,0.005833398894734443,-0.4297118777862341,6.387913250065378,6.947632987544768,-0.5597197374793899,-0.08370613349597311,-0.08564061471639373,0.001934481220420614
O1,ret_20,REVERSAL,True,BETA_RESIDUAL,40,0.045965385574618454,-0.01478494623655914,-0.008670639726432894,-0.002008620022555682,0.13072581588596688,-0.111673744656553,6.734529647829772,6.947632987544768,-0.21310333971499595,-0.08661309805013451,-0.08564061471639373,-0.0009724833337407812
O1,log_adv20,LIQUIDITY,True,BETA_RESIDUAL,40,0.11118037567185626,0.19297235023041476,-0.12802627185277204,-0.036569195969912954,0.20911016670853677,-0.9164879710731855,6.086997299875225,6.947632987544768,-0.8606356876695429,-0.09638158829354626,-0.08564061471639373,-0.010740973577152535
O1,log_adv63,LIQUIDITY,True,BETA_RESIDUAL,40,0.10623090725264042,0.21226958525345624,-0.12957676450175537,-0.04397334334377642,0.1397692296370029,-1.2230517589493397,5.5652745863323085,6.947632987544768,-1.3823584012124597,-0.09585087430185124,-0.08564061471639373,-0.010210259585457515
O1,log_amihud20,LIQUIDITY,True,BETA_RESIDUAL,40,0.07521247972818301,0.15706605222734255,-0.15468520883338877,-0.10846807677558305,0.1223826413887329,-1.8196294813482687,4.5218989692772436,6.947632987544768,-2.4257340182675247,-0.12240990244655259,-0.08564061471639373,-0.03676928773015886
O1,log_amihud63,LIQUIDITY,True,BETA_RESIDUAL,40,0.07262630698889874,0.11899961597542243,-0.09975386498156014,-0.06992130405742052,0.1334987865412257,-1.190412793734851,5.638068346330429,6.947632987544768,-1.3095646412143394,-0.09757275788193398,-0.08564061471639373,-0.011932143165540254
O4,vol_20,RISK,True,VOL_SCALED,20,0.08202267835841132,0.08202267835841132,0.049322676370247676,0.06862376090574612,0.0,0.028603761944055783,-0.572358274865663,-0.9221744366985873,0.3498161618329243,-0.1414824695030863,-0.1401046408514076,-0.0013778286516786808
O4,vol_63_rank,RISK,True,VOL_SCALED,20,0.09058263286840013,0.09058263286840013,-0.03817274434936235,-0.009015552726678422,0.0,0.03889556104669056,-0.45012091723443975,-0.9221744366985873,0.4720535194641476,-0.12749956530967255,-0.1401046408514076,0.012605075541735067
