ticker,financial_period,availability_proxy_date,historical_capital_available,fallback_capital_source_date,fallback_capital,market_cap_source,future_last_capital_fallback,affected_fields
CANTE.IS,2018Q4,2019-03-15,False,2026-09-07,10000000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CANTE.IS,2019Q4,2020-03-15,False,2026-09-07,10000000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CANTE.IS,2020Q2,2020-08-15,False,2026-09-07,10000000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CANTE.IS,2020Q3,2020-11-15,False,2026-09-07,10000000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CANTE.IS,2020Q4,2021-03-15,False,2026-09-07,10000000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CVKMD.IS,2020Q4,2021-03-15,False,2026-09-07,3780000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CVKMD.IS,2021Q4,2022-03-15,False,2026-09-07,3780000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CVKMD.IS,2022Q1,2022-05-15,False,2026-09-07,3780000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CVKMD.IS,2022Q2,2022-08-15,False,2026-09-07,3780000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CVKMD.IS,2022Q3,2022-11-15,False,2026-09-07,3780000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CVKMD.IS,2022Q4,2023-03-15,False,2026-09-07,3780000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CWENE.IS,2020Q4,2021-03-15,False,2026-09-07,1078290009.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CWENE.IS,2021Q4,2022-03-15,False,2026-09-07,1078290009.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CWENE.IS,2022Q1,2022-05-15,False,2026-09-07,1078290009.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CWENE.IS,2022Q2,2022-08-15,False,2026-09-07,1078290009.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CWENE.IS,2022Q3,2022-11-15,False,2026-09-07,1078290009.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
CWENE.IS,2022Q4,2023-03-15,False,2026-09-07,1078290009.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
EUPWR.IS,2020Q4,2021-03-15,False,2026-09-07,660000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
EUPWR.IS,2021Q4,2022-03-15,False,2026-09-07,660000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
EUPWR.IS,2022Q1,2022-05-15,False,2026-09-07,660000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
EUPWR.IS,2022Q2,2022-08-15,False,2026-09-07,660000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
EUPWR.IS,2022Q3,2022-11-15,False,2026-09-07,660000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
EUPWR.IS,2022Q4,2023-03-15,False,2026-09-07,660000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
FORTE.IS,2020Q4,2021-03-15,False,2026-09-07,67000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
FORTE.IS,2021Q4,2022-03-15,False,2026-09-07,67000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
FORTE.IS,2022Q1,2022-05-15,False,2026-09-07,67000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
FORTE.IS,2022Q2,2022-08-15,False,2026-09-07,67000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
FORTE.IS,2022Q3,2022-11-15,False,2026-09-07,67000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
FORTE.IS,2022Q4,2023-03-15,False,2026-09-07,67000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
FORTE.IS,2023Q1,2023-05-15,False,2026-09-07,67000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GESAN.IS,2018Q4,2019-03-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GESAN.IS,2019Q4,2020-03-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
