date,equity,positions,cash_weight
2020-01-08,1.0,0,1.0
2020-01-09,1.0192926141992389,60,0.0
2020-01-10,1.028831027316536,60,0.0
2020-01-13,1.0467582952397465,60,0.0
2020-01-14,1.0645569030712407,60,0.0
2020-01-15,1.0701581459932668,60,0.0
2020-01-16,1.0638817215852276,60,0.0
2020-01-17,1.0658595821119634,60,0.0
2020-01-20,1.0769854383855468,60,0.0
2020-01-21,1.0906503120751674,60,0.0
2020-01-22,1.0849888777588943,60,0.0
2020-01-23,1.0862182596272059,60,0.0
2020-01-24,1.0899296433597665,60,0.0
2020-01-27,1.0803248257599727,60,0.0
2020-01-28,1.0797409308585872,60,0.0
2020-01-29,1.0783874161739693,60,0.0
2020-01-30,1.070774212685856,60,0.0
2020-01-31,1.0738602439684017,60,0.0
2020-02-03,1.074824263817743,60,0.0
2020-02-04,1.0987125124762953,60,0.0
2020-02-05,1.102526236023345,60,0.0
2020-02-06,1.1049147510908528,60,0.0
2020-02-07,1.0981464184258085,60,0.0
2020-02-10,1.070463890103763,60,0.0
2020-02-11,1.0825429253049985,60,0.0
2020-02-12,1.093841589359513,60,0.0
2020-02-13,1.1052426613211248,60,0.0
2020-02-14,1.1047303041368035,60,0.0
2020-02-17,1.1176384869853508,60,0.0
2020-02-18,1.102712451856631,60,0.0
2020-02-19,1.0943153889224995,60,0.0
2020-02-20,1.0542896115951066,60,0.0
2020-02-21,1.0694267742003938,60,0.0
2020-02-24,1.0573495427804478,60,0.0
2020-02-25,1.0600715162827778,60,0.0
2020-02-26,1.0629038383085243,60,0.0
2020-02-27,1.0168484889854468,60,0.0
2020-02-28,0.9760391225254333,60,0.0
2020-03-02,0.9970955427553769,60,0.0
2020-03-03,1.0228960012708237,60,0.0
2020-03-04,1.015690304166234,60,0.0
2020-03-05,1.0214107228022997,60,0.0
2020-03-06,0.993792046732943,60,0.0
2020-03-09,0.927095490069851,60,0.0
2020-03-10,0.8972429305887385,60,0.0
2020-03-11,0.8957502488877039,60,0.0
2020-03-12,0.8231832624695239,60,0.0
2020-03-13,0.8444077685329157,60,0.0
2020-03-16,0.7723136453497125,60,0.0
2020-03-17,0.7484772233832155,60,0.0
2020-03-18,0.7416081943157357,60,0.0
2020-03-19,0.7364003664453637,60,0.0
2020-03-20,0.7526938438099335,60,0.0
2020-03-23,0.7491419621264453,60,0.0
2020-03-24,0.7995428562562238,60,0.0
2020-03-25,0.8080308876075345,60,0.0
2020-03-26,0.8313022094736158,60,0.0
2020-03-27,0.8052558361317924,60,0.0
2020-03-30,0.800635660138534,60,0.0
2020-03-31,0.8223352643365014,60,0.0
2020-04-01,0.8162992405875503,60,0.0
2020-04-02,0.8162408900163847,60,0.0
2020-04-03,0.8207724649051146,60,0.0
2020-04-06,0.8505755062170698,60,0.0
2020-04-07,0.8553085453803313,60,0.0
2020-04-08,0.861863765873729,60,0.0
2020-04-09,0.8843754116698971,60,0.0
2020-04-10,0.8926845080915494,60,0.0
2020-04-13,0.9010204695389685,60,0.0
2020-04-14,0.9223298272750268,60,0.0
2020-04-15,0.8944788672420455,60,0.0
2020-04-16,0.8987600653388682,60,0.0
2020-04-17,0.9131280946205832,60,0.0
2020-04-20,0.9276615241653415,60,0.0
2020-04-21,0.9234547396300558,60,0.0
2020-04-22,0.9348826281217916,60,0.0
2020-04-24,0.9410385514308856,60,0.0
2020-04-27,0.9709526202962928,60,0.0
