architecture,replications,block_length,ic_p05,ic_median,ic_p95,prob_ic_positive,net_p05,net_median,net_p95,prob_net_positive,sharpe_p05,sharpe_median,sharpe_p95
LAMBDAMART,2000,2,-0.041386115957891906,0.016730328923876,0.06609142432717174,0.6875,0.11689286668749858,0.20594719098632094,0.29548984328425515,1.0,0.9863605081764125,1.7974328966926216,3.4186223570884122
LGBM_REGRESSION,2000,2,-0.025888254372515938,0.04126549002389658,0.10887339936008533,0.837,0.10356588186373634,0.22672533941191605,0.3462858514092262,0.9995,0.9026890852002509,1.7681102607194878,3.6906311653293895
