architecture,omitted_outer_period,mean_net_return,mean_sharpe,worst_maxdd
ENSEMBLE_50_50,O1,0.35748870595028487,1.4555792973003594,-0.28319403449392366
ENSEMBLE_50_50,O2,0.5910324885993141,2.3388181054838184,-0.17675844447510702
ENSEMBLE_50_50,O3,0.858630289313535,2.8378008894415783,-0.28319403449392366
ENSEMBLE_50_50,O4,0.8425518010835544,2.3709118129548874,-0.28319403449392366
LAMBDAMART,O1,0.32137918255374265,1.754446707443283,-0.30367719010744687
LAMBDAMART,O2,0.7534307626457609,3.0627248534120235,-0.1497291314952207
LAMBDAMART,O3,0.8041769692903259,2.936041179969099,-0.30367719010744687
LAMBDAMART,O4,0.8667240826281596,2.763460354366977,-0.30367719010744687
LGBM_REGRESSION,O1,0.37781385197077455,1.2228484487292168,-0.27184613536277114
LGBM_REGRESSION,O2,0.6554798614038629,2.142899012952179,-0.17472831309868808
LGBM_REGRESSION,O3,0.9105295725649442,2.536403654317146,-0.27184613536277114
LGBM_REGRESSION,O4,0.9628203084612593,2.6605486199563964,-0.27184613536277114
