,mom_20,mom_40,mom_63_rank,mom_126,mom_252,mom_126_skip20,mom_252_skip20,positive_return_ratio_63,sign_consistency_4x20,ret_5,ret_10,ret_20,vol_20,vol_63_rank,vol_126,downside_vol_63,downside_vol_126,max_drawdown_63,log_adv20,log_adv63,log_amihud20,log_amihud63,zero_return_ratio20,zero_return_ratio63,volume_cv63,base_rank_mom_12_1,base_rank_mom_63,base_rank_vol_63
mom_20,1.0,0.6915254237288135,0.6111141983884413,0.39079341710920656,0.31594449853943524,0.09862370570454691,0.04699110281216422,0.4066003815861405,0.3352666076030867,0.5031284504968716,0.6486849795441263,1.0,0.19440116845180136,0.0838853859047011,0.04574744091702439,-0.17447521749541064,-0.15860455334139545,0.24124801692226336,0.08041122534037233,0.03578771881078077,-0.00745224924329402,0.008891358710752986,-0.03113194396126876,-0.009628827469766961,0.016978583831757668,0.08895382817066043,0.6111141983884413,0.0838853859047011
mom_40,0.6915254237288135,1.0,0.7750459927355063,0.5427702044790652,0.432342317310364,0.3453737149208113,0.24537371492081134,0.4747476559290208,0.4752544098100894,0.3396978021978022,0.4861454335138546,0.6915254237288135,0.24922161172161172,0.15035614887494694,0.0802221047065045,-0.2271742150597388,-0.20702618615504279,0.48951048951048953,0.021245421245421246,-0.01708916083916084,0.010851648351648351,0.04123367602111698,-0.07527610663451183,-0.06323886412942331,0.058960822450680746,0.2435549525101764,0.7750459927355063,0.15035614887494694
mom_63_rank,0.6111141983884413,0.7750459927355063,1.0,0.7086538461538462,0.5642110304094501,0.4849002311429784,0.41129787092803355,0.6172200154462151,0.5788687678217654,0.2765129590327352,0.34192831342039454,0.6111141983884413,0.24707887049659202,0.25636523266022826,0.17261441090555016,-0.20148272779851728,-0.07577132486388385,0.4468147282291058,0.08480133370380662,0.031227106227106227,-0.059351856219633,-0.04377289377289377,-0.07102003248555783,-0.09222278960593897,0.03001460564751704,0.4215201465201465,1.0,0.25636523266022826
mom_126,0.39079341710920656,0.5427702044790652,0.7086538461538462,1.0,0.7475409836065574,0.8577382606279522,0.5950661431384123,0.4589886168203749,0.5000890116907213,0.20334928229665072,0.246901917199222,0.39079341710920656,0.250092013249908,0.2336081828619142,0.22022784106696305,-0.07697253068381063,-0.13583916083916084,0.23501476574347513,0.08946929702695193,0.05878496503496503,0.02945262572936927,-0.013330817491391103,-0.0353905013243381,-0.07530748831365551,-0.010669630452903584,0.6342490842490842,0.7086538461538462,0.2336081828619142
mom_252,0.31594449853943524,0.432342317310364,0.5642110304094501,0.7475409836065574,1.0,0.7467657342657342,0.9147649303388075,0.31146222289631564,0.3976522613316379,0.18173931331826068,0.19899972214504028,0.31594449853943524,0.16192490745637228,0.23745484856904694,0.3028063350930814,0.012412587412587413,0.037805944055944056,0.14612950340798442,0.03495415393164768,0.03445401500416782,-0.016528389940368163,-0.004232609495767391,-0.0516943106952502,-0.10192993626827258,-0.03765880217785844,0.9530425118088358,0.5642110304094501,0.23745484856904694
mom_126_skip20,0.09862370570454691,0.3453737149208113,0.4849002311429784,0.8577382606279522,0.7467657342657342,1.0,0.7147263128646846,0.30750527485190693,0.4294997986604335,-0.016282300639066407,0.030063906640733537,0.09862370570454691,0.22070035227929966,0.2938127974616605,0.3833916083916084,0.07426769893846277,-0.001197222443930082,0.13390944498539437,0.05153359298928919,0.05423728813559322,-0.0126146151708808,-0.012781328146707419,-0.05362196254425021,-0.11493063044680478,-0.04519230769230769,0.7580373347161006,0.4849002311429784,0.2938127974616605
mom_252_skip20,0.04699110281216422,0.24537371492081134,0.41129787092803355,0.5950661431384123,0.9147649303388075,0.7147263128646846,1.0,0.22139675451066068,0.2955803783701165,0.06293262753223502,0.09783273131425396,0.04699110281216422,0.18801704972168445,0.30244080644973254,0.37712138607660994,0.07702274952878552,0.15307379187976203,0.044095707405886975,0.05262572936926924,0.049582308973700015,0.0021180178755473636,0.004999181081728044,-0.08372443527387047,-0.15043602535823392,-0.06687968880244512,0.9581562976474607,0.41129787092803355,0.30244080644973254
positive_return_ratio_63,0.4066003815861405,0.4747476559290208,0.6172200154462151,0.4589886168203749,0.31146222289631564,0.30750527485190693,0.22139675451066068,1.0,0.4592304806690706,0.24530657227048513,0.3083118498023935,0.4066003815861405,0.06789188481647156,0.0603369962658281,0.0931957137859683,-0.09412430879618214,-0.03933131341023066,0.36818394412922695,0.05553761148574863,0.01293313173482793,-0.06203730208657712,-0.038795521898453075,-0.24201310812233293,-0.3005010332569104,-0.10995048366061276,0.23430813764198466,0.6172200154462151,0.0603369962658281
sign_consistency_4x20,0.3352666076030867,0.4752544098100894,0.5788687678217654,0.5000890116907213,0.3976522613316379,0.4294997986604335,0.2955803783701165,0.4592304806690706,1.0,0.11360147670393739,0.255011622630373,0.3352666076030867,0.12884056937490276,0.10144536219814602,0.029785193469719817,-0.2145588844950482,-0.18816501051069834,0.33542117206750854,0.018286586733335757,-0.03274434047703458,0.024055186002788137,0.04120454949624186,0.010063598511905459,-0.05018917301980368,0.02264277592804605,0.2769772538301555,0.5788687678217654,0.10144536219814602
ret_5,0.5031284504968716,0.3396978021978022,0.2765129590327352,0.20334928229665072,0.18173931331826068,-0.016282300639066407,0.06293262753223502,0.24530657227048513,0.11360147670393739,1.0,0.7063628785773826,0.5031284504968716,0.10313976104473464,0.06412892470130592,0.030119477632675744,-0.032972972972972976,-0.02756321200333426,0.07168657960544596,-0.01934566145092461,-0.03260435788969591,0.05773174194226826,0.033682194133232465,-0.03345564941594577,0.029089096059739743,0.013232600732600732,0.056993254398792395,0.2765129590327352,0.06412892470130592
