architecture,RETURN,RISK,ALPHA,STABILITY,COST,COMPLEXITY,DATA_QUALITY,hard_rejection,carry_forward,freeze_readiness
LGBM_REGRESSION,STRONG,STRONG,ACCEPTABLE,ACCEPTABLE,STRONG,STRONG,ACCEPTABLE,False,True,READY WITH CAVEATS
LAMBDAMART,STRONG,ACCEPTABLE,ACCEPTABLE,WEAK,STRONG,ACCEPTABLE,ACCEPTABLE,False,True,READY WITH CAVEATS
