outer_fold,inner_validation_year,horizon_sessions,train_observations,train_last_label_end,validation_start,validation_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O1,2020,20,236,2019-10-28,2020-01-01,2020-12-31,3,180,-0.12234880059275725,-0.18955265351486528,0.3333333333333333,0.5709829424243634,0.9115800905742142,1.4647506028410295,3.0502960438377227,-0.15330114984857302,181,1.448829082178876,4.346487246536628,0,0
O1,2020,40,236,2019-11-26,2020-01-01,2020-12-31,3,179,0.04968653489315359,-0.04178938594053905,0.3333333333333333,0.6285650880043193,1.1836991546844318,1.9665135583887294,3.7364845424755138,-0.16817563775197764,181,1.5372244877321541,4.611673463196462,0,0
O1,2020,60,236,2019-12-24,2020-01-01,2020-12-31,3,177,-0.25645821157218,-0.3154880187025132,0.3333333333333333,0.462633629221461,0.7383280742868832,1.1593700286238775,2.6755984774370387,-0.16651630972361786,181,1.00590674805978,3.0177202441793405,0,0
O1,2021,20,476,2020-10-13,2021-01-01,2021-12-31,4,241,0.050336338947198585,0.09869990768044888,0.75,0.5063308650691366,0.20761792045250815,0.3003721496342924,1.0714414609624987,-0.22963364651314822,181,0.8817190635933478,2.6451571907800435,0,0
O1,2021,40,475,2020-11-11,2021-01-01,2021-12-31,3,180,0.09763823284245626,0.18588496804667967,0.6666666666666666,0.46487053025910013,0.18928170601754202,0.27296458375017374,0.9836678917033539,-0.2384904113541756,181,0.7481885939887035,2.2445657819661107,0,0
O1,2021,60,419,2020-12-09,2021-01-01,2021-12-31,3,180,-0.04666110956747247,-0.1718255070853015,0.3333333333333333,0.458223807405117,0.18928170601754202,0.27296458375017374,0.9836678917033539,-0.2384904113541756,181,0.7481885939887035,2.2445657819661107,0,0
O2,2021,20,476,2020-10-13,2021-01-01,2021-12-31,4,241,0.050336338947198585,0.09869990768044888,0.75,0.5063308650691366,0.20761792045250815,0.3003721496342924,1.0714414609624987,-0.22963364651314822,181,0.8817190635933478,2.6451571907800435,0,0
O2,2021,40,475,2020-11-11,2021-01-01,2021-12-31,3,180,0.09763823284245626,0.18588496804667967,0.6666666666666666,0.46487053025910013,0.18928170601754202,0.27296458375017374,0.9836678917033539,-0.2384904113541756,181,0.7481885939887035,2.2445657819661107,0,0
O2,2021,60,419,2020-12-09,2021-01-01,2021-12-31,3,180,-0.04666110956747247,-0.1718255070853015,0.3333333333333333,0.458223807405117,0.18928170601754202,0.27296458375017374,0.9836678917033539,-0.2384904113541756,181,0.7481885939887035,2.2445657819661107,0,0
O2,2022,20,777,2021-12-28,2022-01-01,2022-12-31,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,2.992265633791389,5.871584420191569,6.918037213114038,-0.09330296101739499,181,0.972296273716025,2.916888821148075,0,0
O2,2022,40,715,2021-11-02,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,2.867326741705035,5.574030326667332,6.935852090137447,-0.08564061471639373,181,0.904939461534963,2.714818384604889,0,0
O2,2022,60,659,2021-11-30,2022-01-01,2022-12-31,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,2.5944183802824368,4.937209818100224,6.158215199351788,-0.17465822569772538,181,0.9522229396676966,2.8566688190030898,0,0
O3,2022,20,777,2021-12-28,2022-01-01,2022-12-31,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,2.992265633791389,5.871584420191569,6.918037213114038,-0.09330296101739499,181,0.972296273716025,2.916888821148075,0,0
O3,2022,40,715,2021-11-02,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,2.867326741705035,5.574030326667332,6.935852090137447,-0.08564061471639373,181,0.904939461534963,2.714818384604889,0,0
O3,2022,60,659,2021-11-30,2022-01-01,2022-12-31,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,2.5944183802824368,4.937209818100224,6.158215199351788,-0.17465822569772538,181,0.9522229396676966,2.8566688190030898,0,0
O3,2023,20,1029,2022-12-09,2023-01-01,2023-12-31,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,1.3154511387974717,2.2186183515084132,2.894372145699454,-0.21774118284134325,181,1.3825600347920328,4.147680104376098,0,0
O3,2023,40,962,2022-10-14,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,1.560032243027441,2.701569514777608,2.7569465738925754,-0.25594648235732853,181,0.9492971570123768,2.8478914710371304,0,0
O3,2023,60,906,2022-11-11,2023-01-01,2023-12-31,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,1.4662467587157093,2.5141379962306836,2.6709687457631865,-0.26321950734370414,181,1.0761077708240332,3.2283233124721,0,0
O4,2023,20,1029,2022-12-09,2023-01-01,2023-12-31,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,1.3154511387974717,2.2186183515084132,2.894372145699454,-0.21774118284134325,181,1.3825600347920328,4.147680104376098,0,0
O4,2023,40,962,2022-10-14,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,1.560032243027441,2.701569514777608,2.7569465738925754,-0.25594648235732853,181,0.9492971570123768,2.8478914710371304,0,0
O4,2023,60,906,2022-11-11,2023-01-01,2023-12-31,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,1.4662467587157093,2.5141379962306836,2.6709687457631865,-0.26321950734370414,181,1.0761077708240332,3.2283233124721,0,0
O4,2024,20,1292,2023-11-27,2024-01-01,2024-12-31,4,299,0.12099732521308118,0.15848113691264884,0.75,0.6800087078305606,0.4105884321522897,0.614376632252223,1.8911419976901587,-0.15703898760344348,181,1.2432527778444415,3.729758333533325,0,0
O4,2024,40,1290,2023-12-26,2024-01-01,2024-12-31,4,297,-0.005874716188698139,0.06025236033095737,0.75,0.5322300741015358,0.333342939199742,0.49263015219030426,1.6210471697358027,-0.19235375308320424,181,1.2381815435067718,3.714544630520315,0,0
O4,2024,60,1167,2023-10-30,2024-01-01,2024-12-31,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.41438055004827223,0.6204222007498332,1.9345419272721465,-0.14090773100370269,181,1.0968427327414465,3.2905281982243397,0,0
