architecture,mean_rank_ic,median_rank_ic,rank_ic_std,positive_fold_ratio,mean_ndcg,mean_topk_spread
ENSEMBLE_50_50,0.04004719281426409,0.11114091468821781,0.16209656641725975,0.75,0.5525848462299846,0.04627098805578184
LAMBDAMART,0.031101487282609336,0.10908474258265,0.17325952059157218,0.75,0.5890570559784635,0.036896243216975044
LGBM_REGRESSION,0.03569161256978523,0.06888336246879263,0.10476656488068851,0.75,0.5549126708906086,0.009176032104311066
