outer_fold,inner_year,candidate,target_family,horizon_sessions,univariate_ic_mean,univariate_ic_median,univariate_ic_std,univariate_positive_ratio,univariate_icir,univariate_dates
O1,2020,mom_20,BETA_RESIDUAL,40,-0.10387943010989646,-0.00783167738164816,0.312496255744221,0.3333333333333333,-0.33241815925923296,3
O1,2021,mom_20,BETA_RESIDUAL,40,0.01798647772529406,-0.04195609891636567,0.1349723798413518,0.3333333333333333,0.13326043258950898,3
O1,2020,mom_40,BETA_RESIDUAL,40,0.06627383724086834,0.10824079485680889,0.28286696116347504,0.6666666666666666,0.23429331219267857,3
O1,2021,mom_40,BETA_RESIDUAL,40,0.12484949523015652,0.03856626840789109,0.264297906387805,0.6666666666666666,0.47238170342130725,3
O1,2020,mom_63_rank,BETA_RESIDUAL,40,0.0075656392420627785,0.060374050263004096,0.25798976227330944,0.6666666666666666,0.029325346771116773,3
O1,2021,mom_63_rank,BETA_RESIDUAL,40,0.14533666759284988,0.06535148652403447,0.19032444390166475,1.0,0.7636258623087911,3
O1,2020,mom_126,BETA_RESIDUAL,40,0.0862219071070189,0.10530702973048071,0.28090651971794617,0.6666666666666666,0.30694163735890845,3
O1,2021,mom_126,BETA_RESIDUAL,40,0.06333240715013431,0.10297304806890804,0.15375643246206502,0.6666666666666666,0.41190086252657926,3
O1,2020,mom_252,BETA_RESIDUAL,40,0.1770625940155791,0.24945818282856352,0.19129087008603576,0.6666666666666666,0.9256196803116777,3
O1,2021,mom_252,BETA_RESIDUAL,40,0.14176160044456795,0.2985273687135316,0.2754336679931659,0.6666666666666666,0.5146850836263248,3
O1,2020,mom_126_skip20,BETA_RESIDUAL,40,0.17059080906893043,0.3397610447346486,0.33515242086522207,0.6666666666666666,0.5089947094176941,3
O1,2021,mom_126_skip20,BETA_RESIDUAL,40,0.13533388904325278,0.1761600444567936,0.20359368097838076,0.6666666666666666,0.6647253902621055,3
O1,2020,mom_252_skip20,BETA_RESIDUAL,40,0.25153506880902426,0.1934426229508197,0.32280746724832676,0.6666666666666666,0.7792108124175621,3
O1,2021,mom_252_skip20,BETA_RESIDUAL,40,0.12547929980550154,0.27457627118644073,0.2676829186220395,0.6666666666666666,0.4687609521423168,3
O1,2020,positive_return_ratio_63,BETA_RESIDUAL,40,0.09376311752155113,0.07931380718201483,0.10417255325363581,0.6666666666666666,0.9000750638535264,3
O1,2021,positive_return_ratio_63,BETA_RESIDUAL,40,0.1644691826522012,0.19794174350048874,0.22663658342998136,0.6666666666666666,0.7256956496743758,3
O1,2020,sign_consistency_4x20,BETA_RESIDUAL,40,0.2553979300833464,0.2776966649959845,0.12289901536800672,1.0,2.078112093238397,3
O1,2021,sign_consistency_4x20,BETA_RESIDUAL,40,0.11658967476675007,-0.00011636978743693267,0.22047536139671228,0.3333333333333333,0.5288104486059305,3
O1,2020,ret_5,BETA_RESIDUAL,40,-0.014832025498781617,0.08620689655172414,0.3693369736938073,0.6666666666666666,-0.04015851798005434,3
O1,2021,ret_5,BETA_RESIDUAL,40,0.05384829119199779,-0.008335648791330925,0.11260143462752606,0.3333333333333333,0.4782202941740697,3
O1,2020,ret_10,BETA_RESIDUAL,40,-0.07588506385873475,0.015078901227352427,0.4630985090406322,0.6666666666666666,-0.16386376198001668,3
O1,2021,ret_10,BETA_RESIDUAL,40,-0.03495405536661362,-0.009391497638232844,0.07248275504806113,0.3333333333333333,-0.48223960779962954,3
O1,2020,ret_20,BETA_RESIDUAL,40,-0.10387943010989646,-0.00783167738164816,0.312496255744221,0.3333333333333333,-0.33241815925923296,3
O1,2021,ret_20,BETA_RESIDUAL,40,0.01798647772529406,-0.04195609891636567,0.1349723798413518,0.3333333333333333,0.13326043258950898,3
O1,2020,vol_20,BETA_RESIDUAL,40,0.18786348698393238,0.10263962211725482,0.28558925133648244,0.6666666666666666,0.6578100755010238,3
O1,2021,vol_20,BETA_RESIDUAL,40,-0.04597573400018524,0.051736593498193956,0.2161166117255489,0.6666666666666666,-0.21273577090210355,3
O1,2020,vol_63_rank,BETA_RESIDUAL,40,0.1444759559647795,0.07429841622672967,0.4016644580133672,0.6666666666666666,0.3596931545284283,3
O1,2021,vol_63_rank,BETA_RESIDUAL,40,0.04347503936278598,0.1574326201722701,0.22586898776798117,0.6666666666666666,0.1924790109186868,3
