outer_fold,architecture,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,LGBM_REGRESSION,3,186,0.079270038644615,0.16338433853973763,0.6666666666666666,0.5953285738290309,0.007814087897471353,1.5610395341833139
O1,LAMBDAMART,3,186,0.08931037574769092,0.05915398451544554,0.6666666666666666,0.6310448100066369,0.08865795756942206,0.5647673322172283
O1,ENSEMBLE_50_50,3,186,0.10516394333356244,0.1286582043759876,0.6666666666666666,0.6232774472289286,0.038856468619386186,0.2699219219285203
O2,LGBM_REGRESSION,3,196,-0.116465603371479,-0.11338086291303756,0.0,0.4384469852193736,-0.0685082047406158,0.07919245044294053
O2,LAMBDAMART,3,196,-0.22708856704378874,-0.20865517138327086,0.0,0.4274358512316347,-0.2998013769327795,0.36657754340598064
O2,ENSEMBLE_50_50,3,196,-0.20212717232490862,-0.1685682989505059,0.0,0.42077090050604743,-0.06791278557585056,0.23769006460548525
O3,LGBM_REGRESSION,2,149,0.12146532871303467,0.12146532871303467,0.5,0.5511820677288772,0.05241145535331955,0.02521202556546989
O3,LAMBDAMART,2,149,0.13332503100892612,0.13332503100892612,1.0,0.6397374436047942,0.0681865788548846,0.42817199215835217
O3,ENSEMBLE_50_50,2,149,0.14003411420552936,0.14003411420552936,0.5,0.5988037623451359,-0.011538233330901586,0.265751668632511
O4,LGBM_REGRESSION,1,79,0.058496686292970265,0.058496686292970265,1.0,0.6346930567851525,0.044986789907069155,0.04505073166632731
O4,LAMBDAMART,1,79,0.12885910941760906,0.12885910941760906,1.0,0.6580101190707881,0.29054181337637297,0.4858177918913648
O4,ENSEMBLE_50_50,1,79,0.11711788604287318,0.11711788604287318,1.0,0.5674872748398266,0.22567850251049335,0.2519358099674047
