architecture,mean_outer_rank_ic,median_outer_rank_ic,outer_rank_ic_std,positive_fold_ratio,mean_ndcg_at_10,mean_top_k_spread_raw,mean_prediction_dispersion
FACTOR_COMPOSITE,0.09788488725823702,0.08358157416469235,0.06227719186342476,1.0,0.5221079342423354,0.10664937607084995,0.16021063619037937
RIDGE,-0.10541772408275642,-0.06410722141982568,0.16944077068394384,0.5,0.4835814961458952,-0.009989277666609328,0.02557189294731151
LGBM_REGRESSION,0.023409292467805588,0.010148931413702288,0.06919924768676926,0.5,0.5685807640675162,0.01885127417821534,0.4277910928928518
LAMBDAMART,0.034572057479532264,0.03215070326762176,0.06739215289593428,0.75,0.566659108670853,0.06366594870082579,0.44800326554360725
