outer_fold,target_family,inner_selected_horizon,selected_family_by_inner,cost_bps,train_observations,test_start,test_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O1,RAW,40,False,0,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,0.12697018301637153,2.9011779121920833,5.654283113613678,7.016211322026645,-0.08393407335736647,181,0.9035348483546995,2.7106045450640988,0,0
O1,RAW,40,False,30,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,0.12697018301637153,2.8808562710085184,5.606072588911541,6.968850219378628,-0.08418572578885086,181,0.9043761320606788,2.7131283961820363,0,0
O1,RAW,40,False,50,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,0.12697018301637153,2.867326741705035,5.574030326667332,6.935852090137447,-0.08564061471639373,181,0.904939461534963,2.714818384604889,0,0
O1,RAW,40,False,100,715,2022-01-01,2022-12-31,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,0.12697018301637153,2.833566714645796,5.494267588809689,6.848592614063499,-0.09064061471639362,181,0.9063565286496512,2.7190695859489535,0,0
O1,SECTOR_RELATIVE,40,False,0,715,2022-01-01,2022-12-31,3,186,0.09108717632851393,0.003168354859394606,0.6666666666666666,0.6826686415112064,0.1336332534256536,2.83043187318059,5.4868750258658325,6.75470725130471,-0.09521197338713672,181,0.9015787276973319,2.704736183091996,0,0
O1,SECTOR_RELATIVE,40,False,30,715,2022-01-01,2022-12-31,3,186,0.09108717632851393,0.003168354859394606,0.6666666666666666,0.6826686415112064,0.1336332534256536,2.810383673510171,5.439653653120585,6.708415829029024,-0.09647074737713601,181,0.902421915988449,2.707265747965347,0,0
O1,SECTOR_RELATIVE,40,False,50,715,2022-01-01,2022-12-31,3,186,0.09108717632851393,0.003168354859394606,0.6666666666666666,0.6826686415112064,0.1336332534256536,2.7970363734522024,5.408269493424012,6.676270674467912,-0.09847074737713601,181,0.9029865404136808,2.7089596212410423,0,0
O1,SECTOR_RELATIVE,40,False,100,715,2022-01-01,2022-12-31,3,186,0.09108717632851393,0.003168354859394606,0.6666666666666666,0.6826686415112064,0.1336332534256536,2.763731691668705,5.3301473484709545,6.591615071138775,-0.10347074737713591,181,0.9044069345536178,2.713220803660853,0,0
O1,BETA_RESIDUAL,40,True,0,715,2022-01-01,2022-12-31,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272,3.015870627974973,5.928216963384985,7.0238441342025935,-0.08393407335736647,181,0.9035348483546995,2.7106045450640988,0,0
O1,BETA_RESIDUAL,40,True,30,715,2022-01-01,2022-12-31,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272,2.9951093523067684,5.878400060904367,6.978951490266841,-0.08418572578885086,181,0.9043761320606788,2.7131283961820363,0,0
O1,BETA_RESIDUAL,40,True,50,715,2022-01-01,2022-12-31,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272,2.9812868392798215,5.845289028754994,6.947632987544768,-0.08564061471639373,181,0.904939461534963,2.714818384604889,0,0
O1,BETA_RESIDUAL,40,True,100,715,2022-01-01,2022-12-31,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272,2.9467947236772942,5.762861888012542,6.864668780573179,-0.09064061471639362,181,0.9063565286496512,2.7190695859489535,0,0
O1,VOL_SCALED,40,False,0,715,2022-01-01,2022-12-31,3,186,0.02479473340364359,0.02059331797235023,0.6666666666666666,0.6481377888466683,0.10899458373529029,2.9011779121920833,5.654283113613678,7.016211322026645,-0.08393407335736647,181,0.9035348483546995,2.7106045450640988,0,0
O1,VOL_SCALED,40,False,30,715,2022-01-01,2022-12-31,3,186,0.02479473340364359,0.02059331797235023,0.6666666666666666,0.6481377888466683,0.10899458373529029,2.8808562710085184,5.606072588911541,6.968850219378628,-0.08418572578885086,181,0.9043761320606788,2.7131283961820363,0,0
