tarih,portfoy_listesi,degisiklik,model_getiri_yuzde,bist100_getiri_yuzde,alfa,drift_durumu,makro_ozet,dd_kesici_aktif,portfoy_zirve_getiri,max_hisse_dd_pct,min_gun_kalan,uyari_hisseler
2026-09-14,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","+VESTL.IS,TERA.IS,TUPRS.IS,ALARK.IS,PETKM.IS,KRDMD.IS,FORTE.IS,GUBRF.IS,ANSGR.IS,TURSG.IS,REEDR.IS,SKBNK.IS,GENTS.IS,SELEC.IS,DOHOL.IS | -",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,60,Yok
2026-09-11,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","Değişiklik yok",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,46,Yok
2026-09-11,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","Değişiklik yok",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,46,Yok
2026-09-11,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","Değişiklik yok",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,46,Yok
2026-09-11,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","Değişiklik yok",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,46,Yok
2026-09-11,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","Değişiklik yok",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,60,Yok
2026-09-11,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","Değişiklik yok",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,60,Yok
2026-09-11,"ALARK.IS, ANSGR.IS, DOHOL.IS, FORTE.IS, GENTS.IS, GUBRF.IS, KRDMD.IS, PETKM.IS, REEDR.IS, SELEC.IS, SKBNK.IS, TERA.IS, TUPRS.IS, TURSG.IS, VESTL.IS","Değişiklik yok",%0.00,%0.00,%0.00,🟢 YEŞİL,"Reel:%5.3, USD_Mom:%3.3",False,%0.00,%0.00,60,Yok
